t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1548920123,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,2.044514,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920124,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.667864,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920125,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.399831,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920126,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.286332,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920127,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.222349,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920128,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.182082,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920129,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.154080,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920130,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.133053,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920131,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.117814,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920132,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.105274,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920133,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.095064,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920134,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.087022,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920135,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.080073,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920136,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.074098,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920137,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.068998,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920138,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.064553,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920139,1,77.942800,77.942800,77.942800,0.000000,77.942800,77.942800,77.942800,77.942800,77.942800,77.942800,0.060642,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920140,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.114320,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920141,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.108118,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920142,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.102539,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920143,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.097592,0.171751,0.193552,0.197802,calls/second,milliseconds
1548920144,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.093061,0.171751,0.193552,0.197802,calls/second,milliseconds
1548920145,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.088935,0.171751,0.193552,0.197802,calls/second,milliseconds
1548920146,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.085130,0.171751,0.193552,0.197802,calls/second,milliseconds
1548920147,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.081660,0.171751,0.193552,0.197802,calls/second,milliseconds
1548920148,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.078448,0.158019,0.190352,0.196706,calls/second,milliseconds
1548920149,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.075496,0.158019,0.190352,0.196706,calls/second,milliseconds
1548920150,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.072743,0.158019,0.190352,0.196706,calls/second,milliseconds
1548920151,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.070189,0.158019,0.190352,0.196706,calls/second,milliseconds
1548920152,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.067795,0.158019,0.190352,0.196706,calls/second,milliseconds
1548920153,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.065559,0.145384,0.187206,0.195617,calls/second,milliseconds
1548920154,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.063505,0.145384,0.187206,0.195617,calls/second,milliseconds
1548920155,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.061544,0.145384,0.187206,0.195617,calls/second,milliseconds
1548920156,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.059701,0.145384,0.187206,0.195617,calls/second,milliseconds
1548920157,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.057974,0.145384,0.187206,0.195617,calls/second,milliseconds
1548920158,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.056334,0.133760,0.184112,0.194533,calls/second,milliseconds
1548920159,2,77.942800,39.484653,9.682800,33.854454,9.682800,77.942800,77.942800,77.942800,77.942800,77.942800,0.054803,0.133760,0.184112,0.194533,calls/second,milliseconds
1548920160,3,77.942800,25.376101,6.824900,30.211674,9.682800,9.682800,77.942800,77.942800,77.942800,77.942800,0.079993,0.133760,0.184112,0.194533,calls/second,milliseconds
1548920161,3,77.942800,25.376101,6.824900,30.211674,9.682800,9.682800,77.942800,77.942800,77.942800,77.942800,0.077935,0.133760,0.184112,0.194533,calls/second,milliseconds
1548920162,3,77.942800,25.376101,6.824900,30.211674,9.682800,9.682800,77.942800,77.942800,77.942800,77.942800,0.075939,0.133760,0.184112,0.194533,calls/second,milliseconds
1548920163,3,77.942800,25.376101,6.824900,30.211674,9.682800,9.682800,77.942800,77.942800,77.942800,77.942800,0.074070,0.139056,0.184375,0.194563,calls/second,milliseconds
1548920164,3,77.942800,25.376101,6.824900,30.211674,9.682800,9.682800,77.942800,77.942800,77.942800,77.942800,0.072286,0.139056,0.184375,0.194563,calls/second,milliseconds
1548920165,3,77.942800,25.376101,6.824900,30.211674,9.682800,9.682800,77.942800,77.942800,77.942800,77.942800,0.070601,0.139056,0.184375,0.194563,calls/second,milliseconds
1548920166,3,77.942800,25.376101,6.824900,30.211674,9.682800,9.682800,77.942800,77.942800,77.942800,77.942800,0.068963,0.139056,0.184375,0.194563,calls/second,milliseconds
1548920167,3,77.942800,25.376101,6.824900,30.211674,9.682800,9.682800,77.942800,77.942800,77.942800,77.942800,0.067382,0.139056,0.184375,0.194563,calls/second,milliseconds
