t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1548920123,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,2.152996,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920124,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.679362,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920125,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.404014,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920126,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.288500,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920127,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.223642,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920128,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.182936,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920129,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.154702,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920130,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.133501,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920131,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.118169,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920132,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.105559,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920133,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.095297,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920134,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.087216,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920135,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.080240,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920136,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.074241,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920137,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.069121,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920138,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.064659,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920139,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.060736,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920140,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.057244,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920141,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.054133,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920142,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.051336,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920143,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.048857,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920144,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.046586,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920145,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.044518,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920146,1,4.090500,4.090500,4.090500,0.000000,4.090500,4.090500,4.090500,4.090500,4.090500,4.090500,0.042611,0.155760,0.190246,0.196694,calls/second,milliseconds
