t,value
1548920092,1.0
1548920093,1.0
1548920094,1.0
1548920095,1.0
1548920096,1.0
1548920097,1.0
1548920098,1.0
1548920099,1.0
1548920100,1.0
1548920101,1.0
1548920102,1.0
1548920103,1.0
1548920104,1.0
1548920105,1.0
1548920106,1.0
1548920107,1.0
1548920108,1.0
1548920109,1.0
1548920110,1.0
1548920111,1.0
1548920112,1.0
1548920113,1.0
1548920114,1.0
1548920115,1.0
1548920116,1.0
1548920117,1.0
1548920118,1.0
1548920119,1.0
1548920120,1.0
1548920121,1.0
1548920122,1.0
1548920123,4.0
1548920124,4.0
1548920125,4.0
1548920126,4.0
1548920127,4.0
1548920128,4.0
1548920129,4.0
1548920130,4.0
1548920131,4.0
1548920132,4.0
1548920133,4.0
1548920134,4.0
1548920135,4.0
1548920136,4.0
1548920137,4.0
1548920138,4.0
1548920139,4.0
1548920140,5.0
1548920141,5.0
1548920142,5.0
1548920143,5.0
1548920144,5.0
1548920145,5.0
1548920146,5.0
1548920147,5.0
1548920148,5.0
1548920149,5.0
1548920150,5.0
1548920151,5.0
1548920152,5.0
1548920153,5.0
1548920154,5.0
1548920155,5.0
1548920156,5.0
1548920157,5.0
1548920158,5.0
1548920159,5.0
1548920160,6.0
1548920161,6.0
1548920162,6.0
1548920163,6.0
1548920164,6.0
1548920165,6.0
1548920166,6.0
1548920167,6.0
1548920168,6.0
1548920169,6.0
1548920170,6.0
1548920171,6.0
1548920172,6.0
1548920173,6.0
1548920174,6.0
1548920175,6.0
1548920176,6.0
1548920177,6.0
1548920178,6.0
1548920179,6.0
1548920180,7.0
1548920181,7.0
1548920182,7.0
1548920183,7.0
1548920184,7.0
1548920185,7.0
1548920186,7.0
1548920187,7.0
1548920188,7.0
1548920189,7.0
1548920190,7.0
1548920191,7.0
1548920192,7.0
1548920193,7.0
1548920194,7.0
1548920195,7.0
1548920196,7.0
1548920197,7.0
1548920198,7.0
1548920199,7.0
1548920200,8.0
1548920201,8.0
1548920202,8.0
1548920203,8.0
1548920204,8.0
1548920205,8.0
1548920206,8.0
1548920207,8.0
1548920208,8.0
1548920209,8.0
1548920210,8.0
1548920211,8.0
1548920212,8.0
1548920213,8.0
1548920214,8.0
1548920215,8.0
1548920216,8.0
1548920217,8.0
1548920218,8.0
1548920219,8.0
1548920220,9.0
1548920221,9.0
1548920222,9.0
1548920223,9.0
1548920224,9.0
1548920225,9.0
1548920226,9.0
1548920227,9.0
1548920228,9.0
1548920229,9.0
1548920230,9.0
1548920231,9.0
1548920232,9.0
1548920233,9.0
1548920234,9.0
1548920235,9.0
1548920236,9.0
1548920238,9.0
1548920240,10.0
1548920241,10.0
1548920242,10.0
1548920242,10.0
1548920243,10.0
1548920243,10.0
1548920244,10.0
1548920245,10.0
1548920246,10.0
1548920247,10.0
1548920248,10.0
1548920249,10.0
1548920250,10.0
1548920251,10.0
1548920252,10.0
1548920253,10.0
1548920254,10.0
1548920255,10.0
1548920256,10.0
1548920257,10.0
1548920258,10.0
1548920259,10.0
1548920260,11.0
1548920261,11.0
1548920262,11.0
1548920263,11.0
