t,value
1548920092,8192.0
1548920093,8192.0
1548920094,8192.0
1548920095,8192.0
1548920096,8192.0
1548920097,8192.0
1548920098,8192.0
1548920099,8192.0
1548920100,8192.0
1548920101,8192.0
1548920102,8192.0
1548920103,8192.0
1548920104,8192.0
1548920105,8192.0
1548920106,8192.0
1548920107,8192.0
1548920108,8192.0
1548920109,8192.0
1548920110,8192.0
1548920111,8192.0
1548920112,8192.0
1548920113,8192.0
1548920114,8192.0
1548920115,8192.0
1548920116,8192.0
1548920117,8192.0
1548920118,8192.0
1548920119,8192.0
1548920120,8192.0
1548920121,8192.0
1548920122,8192.0
1548920123,32768.0
1548920124,32768.0
1548920125,32768.0
1548920126,32768.0
1548920127,32768.0
1548920128,32768.0
1548920129,32768.0
1548920130,32768.0
1548920131,32768.0
1548920132,32768.0
1548920133,32768.0
1548920134,32768.0
1548920135,32768.0
1548920136,32768.0
1548920137,32768.0
1548920138,32768.0
1548920139,32768.0
1548920140,40960.0
1548920141,40960.0
1548920142,40960.0
1548920143,40960.0
1548920144,40960.0
1548920145,40960.0
1548920146,40960.0
1548920147,40960.0
1548920148,40960.0
1548920149,40960.0
1548920150,40960.0
1548920151,40960.0
1548920152,40960.0
1548920153,40960.0
1548920154,40960.0
1548920155,40960.0
1548920156,40960.0
1548920157,40960.0
1548920158,40960.0
1548920159,40960.0
1548920160,49152.0
1548920161,49152.0
1548920162,49152.0
1548920163,49152.0
1548920164,49152.0
1548920165,49152.0
1548920166,49152.0
1548920167,49152.0
1548920168,49152.0
1548920169,49152.0
1548920170,49152.0
1548920171,49152.0
1548920172,49152.0
1548920173,49152.0
1548920174,49152.0
1548920175,49152.0
1548920176,49152.0
1548920177,49152.0
1548920178,49152.0
1548920179,49152.0
1548920180,57344.0
1548920181,57344.0
1548920182,57344.0
1548920183,57344.0
1548920184,57344.0
1548920185,57344.0
1548920186,57344.0
1548920187,57344.0
1548920188,57344.0
1548920189,57344.0
1548920190,57344.0
1548920191,57344.0
1548920192,57344.0
1548920193,57344.0
1548920194,57344.0
1548920195,57344.0
1548920196,57344.0
1548920197,57344.0
1548920198,57344.0
1548920199,57344.0
1548920200,65536.0
1548920201,65536.0
1548920202,65536.0
1548920203,65536.0
1548920204,65536.0
1548920205,65536.0
1548920206,65536.0
1548920207,65536.0
1548920208,65536.0
1548920209,65536.0
1548920210,65536.0
1548920211,65536.0
1548920212,65536.0
1548920213,65536.0
1548920214,65536.0
1548920215,65536.0
1548920216,65536.0
1548920217,65536.0
1548920218,65536.0
1548920219,65536.0
1548920220,73728.0
1548920221,73728.0
1548920222,73728.0
1548920223,73728.0
1548920224,73728.0
1548920225,73728.0
1548920226,73728.0
1548920227,73728.0
1548920228,73728.0
1548920229,73728.0
1548920230,73728.0
1548920231,73728.0
1548920232,73728.0
1548920233,73728.0
1548920234,73728.0
1548920235,73728.0
1548920236,73728.0
1548920238,73728.0
1548920240,81920.0
1548920241,81920.0
1548920242,81920.0
1548920242,81920.0
1548920243,81920.0
1548920243,81920.0
1548920244,81920.0
1548920245,81920.0
1548920246,81920.0
1548920247,81920.0
1548920248,81920.0
1548920249,81920.0
1548920250,81920.0
1548920251,81920.0
1548920252,81920.0
1548920253,81920.0
1548920254,81920.0
1548920255,81920.0
1548920256,81920.0
1548920257,81920.0
1548920258,81920.0
1548920259,81920.0
1548920260,90112.0
1548920261,90112.0
1548920262,90112.0
1548920263,90112.0
