t,value
1548920092,8153.0
1548920093,9800.0
1548920094,9965.0
1548920095,10117.0
1548920096,10117.0
1548920097,10118.0
1548920098,10126.0
1548920099,10126.0
1548920100,10126.0
1548920101,10128.0
1548920102,10128.0
1548920103,10128.0
1548920104,10128.0
1548920105,10128.0
1548920106,10128.0
1548920107,10128.0
1548920108,10130.0
1548920109,10130.0
1548920110,10136.0
1548920111,10136.0
1548920112,10136.0
1548920113,10136.0
1548920114,10136.0
1548920115,10136.0
1548920116,10136.0
1548920117,10136.0
1548920118,10136.0
1548920119,10136.0
1548920120,10136.0
1548920121,10136.0
1548920122,10137.0
1548920123,10379.0
1548920124,10383.0
1548920125,10383.0
1548920126,10383.0
1548920127,10383.0
1548920128,10383.0
1548920129,10383.0
1548920130,10383.0
1548920131,10384.0
1548920132,10384.0
1548920133,10384.0
1548920134,10384.0
1548920135,10384.0
1548920136,10384.0
1548920137,10384.0
1548920138,10384.0
1548920139,10384.0
1548920140,10388.0
1548920141,10388.0
1548920142,10388.0
1548920143,10388.0
1548920144,10388.0
1548920145,10388.0
1548920146,10391.0
1548920147,10391.0
1548920148,10391.0
1548920149,10391.0
1548920150,10391.0
1548920151,10392.0
1548920152,10392.0
1548920153,10392.0
1548920154,10393.0
1548920155,10393.0
1548920156,10393.0
1548920157,10393.0
1548920158,10393.0
1548920159,10393.0
1548920160,10393.0
1548920161,10393.0
1548920162,10393.0
1548920163,10393.0
1548920164,10393.0
1548920165,10393.0
1548920166,10393.0
1548920167,10393.0
1548920168,10393.0
1548920169,10393.0
1548920170,10393.0
1548920171,10393.0
1548920172,10393.0
1548920173,10393.0
1548920174,10393.0
1548920175,10393.0
1548920176,10393.0
1548920177,10393.0
1548920178,10393.0
1548920179,10393.0
1548920180,10393.0
1548920181,10393.0
1548920182,10393.0
1548920183,10393.0
1548920184,10393.0
1548920185,10393.0
1548920186,10393.0
1548920187,10393.0
1548920188,10393.0
1548920189,10393.0
1548920190,10393.0
1548920191,10393.0
1548920192,10393.0
1548920193,10393.0
1548920194,10393.0
1548920195,10393.0
1548920196,10393.0
1548920197,10393.0
1548920198,10393.0
1548920199,10393.0
1548920200,10394.0
1548920201,10394.0
1548920202,10394.0
1548920203,10394.0
1548920204,10394.0
1548920205,10394.0
1548920206,10394.0
1548920207,10394.0
1548920208,10394.0
1548920209,10394.0
1548920210,10394.0
1548920211,10394.0
1548920212,10394.0
1548920213,10394.0
1548920214,10394.0
1548920215,10394.0
1548920216,10394.0
1548920217,10394.0
1548920218,10394.0
1548920219,10394.0
1548920220,10394.0
1548920221,10394.0
1548920222,10394.0
1548920223,10394.0
1548920224,10394.0
1548920225,10394.0
1548920226,10394.0
1548920227,10394.0
1548920228,10394.0
1548920229,10394.0
1548920230,10394.0
1548920231,10394.0
1548920232,10394.0
1548920233,10394.0
1548920234,10394.0
1548920235,10394.0
1548920236,10394.0
1548920238,10394.0
1548920240,10394.0
1548920241,10394.0
1548920242,10394.0
1548920242,10394.0
1548920243,10394.0
1548920243,10394.0
1548920244,10394.0
1548920245,10394.0
1548920246,10394.0
1548920247,10394.0
1548920248,10394.0
1548920249,10394.0
1548920250,10394.0
1548920251,10394.0
1548920252,10394.0
1548920253,10394.0
1548920254,10394.0
1548920255,10394.0
1548920256,10394.0
1548920257,10394.0
1548920258,10394.0
1548920259,10394.0
1548920260,10394.0
1548920261,10394.0
1548920262,10394.0
1548920263,10394.0
