t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920092,229092232,65071538.655495,0.000000,0.000000,0.000000,events/second
1548920093,229092232,59341221.208624,0.000000,0.000000,0.000000,events/second
1548920094,229092232,53631037.275116,0.000000,0.000000,0.000000,events/second
1548920095,229092232,44095995.945880,45818446.400000,45818446.400000,45818446.400000,events/second
1548920096,229092232,37377212.590651,45818446.400000,45818446.400000,45818446.400000,events/second
1548920097,229092232,32203526.440856,45818446.400000,45818446.400000,45818446.400000,events/second
1548920098,229092232,28158179.950858,45818446.400000,45818446.400000,45818446.400000,events/second
1548920099,229092232,25186980.864403,45818446.400000,45818446.400000,45818446.400000,events/second
1548920100,229092232,22579353.076544,42155005.697313,45061134.092856,45564605.242765,events/second
1548920101,229092232,20580487.342162,42155005.697313,45061134.092856,45564605.242765,events/second
1548920102,229092232,18912471.418786,42155005.697313,45061134.092856,45564605.242765,events/second
1548920103,229092232,17459278.110962,42155005.697313,45061134.092856,45564605.242765,events/second
1548920104,229092232,16242038.773805,42155005.697313,45061134.092856,45564605.242765,events/second
1548920105,229092232,15161212.267048,38784477.540480,44316339.057152,45312170.404123,events/second
1548920106,229092232,14218343.844527,38784477.540480,44316339.057152,45312170.404123,events/second
1548920107,229092232,13383238.518451,38784477.540480,44316339.057152,45312170.404123,events/second
1548920108,229092232,12595038.560872,38784477.540480,44316339.057152,45312170.404123,events/second
1548920109,229092232,11989688.560080,38784477.540480,44316339.057152,45312170.404123,events/second
1548920110,229092232,11375265.426688,35683441.935435,43583854.400589,45061134.092856,events/second
1548920111,229092232,10855900.903218,35683441.935435,43583854.400589,45061134.092856,events/second
1548920112,229092232,10349855.079722,35683441.935435,43583854.400589,45061134.092856,events/second
1548920113,229092232,9918430.117050,35683441.935435,43583854.400589,45061134.092856,events/second
1548920114,229092232,9504864.923676,35683441.935435,43583854.400589,45061134.092856,events/second
1548920115,229092232,9127985.056914,32830351.447447,42863476.650497,44811488.560910,events/second
1548920116,229092232,8778840.537186,32830351.447447,42863476.650497,44811488.560910,events/second
1548920117,229092232,8454325.793978,32830351.447447,42863476.650497,44811488.560910,events/second
1548920118,229092232,8155633.096861,32830351.447447,42863476.650497,44811488.560910,events/second
1548920119,229092232,7869099.983884,32830351.447447,42863476.650497,44811488.560910,events/second
1548920120,229092232,7612854.930492,30205381.479541,42155005.697313,44563226.103155,events/second
1548920121,229092232,7365862.287767,30205381.479541,42155005.697313,44563226.103155,events/second
1548920122,229092232,7136894.422970,30205381.479541,42155005.697313,44563226.103155,events/second
1548920123,368028552,11121008.739383,30205381.479541,42155005.697313,44563226.103155,events/second
1548920124,368028552,10792868.792176,30205381.479541,42155005.697313,44563226.103155,events/second
1548920125,368028552,10482811.431417,30012039.480969,41917527.815190,44470284.723240,events/second
1548920126,368028552,10196425.180717,30012039.480969,41917527.815190,44470284.723240,events/second
1548920127,368028552,9919750.190905,30012039.480969,41917527.815190,44470284.723240,events/second
1548920128,368028552,9660273.109330,30012039.480969,41917527.815190,44470284.723240,events/second
1548920129,368028552,9413549.253578,30012039.480969,41917527.815190,44470284.723240,events/second
1548920130,368028552,9173654.317727,27612409.296101,41224692.021013,44223912.586608,events/second
1548920131,368028552,8955928.133279,27612409.296101,41224692.021013,44223912.586608,events/second
1548920132,368028552,8741032.286795,27612409.296101,41224692.021013,44223912.586608,events/second
1548920133,368028552,8534378.421704,27612409.296101,41224692.021013,44223912.586608,events/second
1548920134,368028552,8346070.088569,27612409.296101,41224692.021013,44223912.586608,events/second
1548920135,368028552,8161376.553840,25404642.947336,40543307.795254,43978905.389060,events/second
1548920136,368028552,7984146.953173,25404642.947336,40543307.795254,43978905.389060,events/second
1548920137,368028552,7813997.548315,25404642.947336,40543307.795254,43978905.389060,events/second
1548920138,368028552,7651940.497788,25404642.947336,40543307.795254,43978905.389060,events/second
1548920139,368028552,7496159.840078,25404642.947336,40543307.795254,43978905.389060,events/second
1548920140,368028552,7346385.580841,23373399.849349,39873185.860136,43735255.568626,events/second
1548920141,368028552,7201763.216487,23373399.849349,39873185.860136,43735255.568626,events/second
1548920142,368028552,7062712.619254,23373399.849349,39873185.860136,43735255.568626,events/second
1548920143,368028552,6930965.485389,23373399.849349,39873185.860136,43735255.568626,events/second
1548920144,368028552,6803216.444287,23373399.849349,39873185.860136,43735255.568626,events/second
1548920145,368028552,6680081.334862,21504565.982291,39214140.066367,43492955.605231,events/second
1548920146,368028552,6560533.374763,21504565.982291,39214140.066367,43492955.605231,events/second
1548920147,368028552,6445834.042101,21504565.982291,39214140.066367,43492955.605231,events/second
1548920148,368028552,6334497.231569,21504565.982291,39214140.066367,43492955.605231,events/second
1548920149,368028552,6227694.381083,21504565.982291,39214140.066367,43492955.605231,events/second
1548920150,368028552,6123858.165229,19785155.821035,38565987.341435,43251998.020462,events/second
1548920151,368028552,6023483.399311,19785155.821035,38565987.341435,43251998.020462,events/second
1548920152,368028552,5925802.500368,19785155.821035,38565987.341435,43251998.020462,events/second
1548920153,368028552,5831320.896746,19785155.821035,38565987.341435,43251998.020462,events/second
1548920154,368028552,5741687.879907,19785155.821035,38565987.341435,43251998.020462,events/second
1548920155,368028552,5653164.422348,18203222.105714,37928547.638747,43012375.377337,events/second
1548920156,368028552,5567408.649108,18203222.105714,37928547.638747,43012375.377337,events/second
1548920157,368028552,5484782.582016,18203222.105714,37928547.638747,43012375.377337,events/second
1548920158,368028552,5403792.403272,18203222.105714,37928547.638747,43012375.377337,events/second
1548920159,368028552,5326160.215903,18203222.105714,37928547.638747,43012375.377337,events/second
1548920160,368028552,5249531.947819,16747772.826619,37301643.887621,42774080.280076,events/second
1548920161,368028552,5176332.860146,16747772.826619,37301643.887621,42774080.280076,events/second
1548920162,368028552,5103742.131623,16747772.826619,37301643.887621,42774080.280076,events/second
1548920163,368028552,5034334.431333,16747772.826619,37301643.887621,42774080.280076,events/second
1548920164,368028552,4966199.631377,16747772.826619,37301643.887621,42774080.280076,events/second
1548920165,368028552,4900739.011127,15408694.846612,36685101.944095,42537105.373873,events/second
1548920166,368028552,4835772.337670,15408694.846612,36685101.944095,42537105.373873,events/second
1548920167,368028552,4772069.841734,15408694.846612,36685101.944095,42537105.373873,events/second
