t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920092,8180072,2319278.215217,0.000000,0.000000,0.000000,events/second
1548920093,8180072,2114972.841712,0.000000,0.000000,0.000000,events/second
1548920094,8180072,1911843.789060,0.000000,0.000000,0.000000,events/second
1548920095,8180072,1573055.677989,1636014.400000,1636014.400000,1636014.400000,events/second
1548920096,8180072,1333612.378670,1636014.400000,1636014.400000,1636014.400000,events/second
1548920097,8180072,1149070.190560,1636014.400000,1636014.400000,1636014.400000,events/second
1548920098,8180072,1004885.284202,1636014.400000,1636014.400000,1636014.400000,events/second
1548920099,8180072,898864.690045,1636014.400000,1636014.400000,1636014.400000,events/second
1548920100,8180072,805850.224104,1505205.910973,1608973.460441,1626950.631558,events/second
1548920101,8180072,734559.077745,1505205.910973,1608973.460441,1626950.631558,events/second
1548920102,8180072,674867.855973,1505205.910973,1608973.460441,1626950.631558,events/second
1548920103,8180072,622978.939499,1505205.910973,1608973.460441,1626950.631558,events/second
1548920104,8180072,579764.256604,1505205.910973,1608973.460441,1626950.631558,events/second
1548920105,8180072,541186.883577,1384856.291258,1582379.468300,1617937.077770,events/second
1548920106,8180072,507069.871028,1384856.291258,1582379.468300,1617937.077770,events/second
1548920107,8180072,477735.672452,1384856.291258,1582379.468300,1617937.077770,events/second
1548920108,8180072,449608.605138,1384856.291258,1582379.468300,1617937.077770,events/second
1548920109,8180072,428005.534890,1384856.291258,1582379.468300,1617937.077770,events/second
1548920110,8180072,406073.888564,1274129.295836,1556225.036187,1608973.460441,events/second
1548920111,8180072,387540.037970,1274129.295836,1556225.036187,1608973.460441,events/second
1548920112,8180072,369468.783137,1274129.295836,1556225.036187,1608973.460441,events/second
1548920113,8180072,354081.509028,1274129.295836,1556225.036187,1608973.460441,events/second
1548920114,8180072,339318.844322,1274129.295836,1556225.036187,1608973.460441,events/second
1548920115,8180072,325867.959298,1172255.542150,1530502.898812,1600059.502914,events/second
1548920116,8180072,313406.626289,1172255.542150,1530502.898812,1600059.502914,events/second
1548920117,8180072,301823.209777,1172255.542150,1530502.898812,1600059.502914,events/second
1548920118,8180072,291160.944786,1172255.542150,1530502.898812,1600059.502914,events/second
1548920119,8180072,280916.523920,1172255.542150,1530502.898812,1600059.502914,events/second
1548920120,8180072,271787.662900,1078527.164073,1505205.910973,1591194.930067,events/second
1548920121,8180072,262969.299424,1078527.164073,1505205.910973,1591194.930067,events/second
1548920122,8180072,254794.403533,1078527.164073,1505205.910973,1591194.930067,events/second
1548920123,8188264,247394.248041,1078527.164073,1505205.910973,1591194.930067,events/second
1548920124,8188264,240096.281721,1078527.164073,1505205.910973,1591194.930067,events/second
1548920125,8188264,233201.571763,992423.892562,1480354.125936,1582388.545285,events/second
1548920126,8188264,226829.317176,992423.892562,1480354.125936,1582388.545285,events/second
1548920127,8188264,220673.919332,992423.892562,1480354.125936,1582388.545285,events/second
1548920128,8188264,214904.398236,992423.892562,1480354.125936,1582388.545285,events/second
1548920129,8188264,209413.025290,992423.892562,1480354.125936,1582388.545285,events/second
1548920130,8188264,204075.009274,913074.059297,1455886.024405,1573621.872229,events/second
1548920131,8188264,199237.333468,913074.059297,1455886.024405,1573621.872229,events/second
1548920132,8188264,194455.815964,913074.059297,1455886.024405,1573621.872229,events/second
1548920133,8188264,189855.644826,913074.059297,1455886.024405,1573621.872229,events/second
1548920134,8188264,185671.088064,913074.059297,1455886.024405,1573621.872229,events/second
1548920135,8188264,181562.673472,840068.688399,1431822.345020,1564903.767874,events/second
1548920136,8188264,177620.204437,840068.688399,1431822.345020,1564903.767874,events/second
1548920137,8188264,173835.545696,840068.688399,1431822.345020,1564903.767874,events/second
1548920138,8188264,170230.642173,840068.688399,1431822.345020,1564903.767874,events/second
1548920139,8188264,166764.850346,840068.688399,1431822.345020,1564903.767874,events/second
1548920140,8188264,163433.803560,772900.504666,1408156.403271,1556233.963143,events/second
1548920141,8188264,160216.587371,772900.504666,1408156.403271,1556233.963143,events/second
