t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1548920092,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.365472,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920093,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.326064,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920094,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.284677,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920095,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.226834,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920096,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.187006,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920097,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.158087,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920098,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.136154,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920099,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.120419,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920100,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.106897,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920101,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.096710,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920102,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.088129,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920103,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.081066,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920104,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.075107,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920105,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.069836,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920106,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.065197,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920107,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.061250,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920108,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.057478,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920109,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.054595,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920110,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.051685,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920111,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.049233,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920112,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.046852,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920113,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.044831,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920114,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.042895,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920115,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.041139,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920116,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.039520,0.143306,0.187101,0.195605,calls/second,milliseconds
1548920117,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.038014,0.143306,0.187101,0.195605,calls/second,milliseconds
1548920118,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.036632,0.143306,0.187101,0.195605,calls/second,milliseconds
1548920119,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.035306,0.143306,0.187101,0.195605,calls/second,milliseconds
1548920120,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.034129,0.143306,0.187101,0.195605,calls/second,milliseconds
1548920121,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.032992,0.131848,0.184009,0.194521,calls/second,milliseconds
1548920122,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.031941,0.131848,0.184009,0.194521,calls/second,milliseconds
1548920123,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.030939,0.131848,0.184009,0.194521,calls/second,milliseconds
1548920124,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.030005,0.131848,0.184009,0.194521,calls/second,milliseconds
1548920125,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.029128,0.131848,0.184009,0.194521,calls/second,milliseconds
1548920126,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.028311,0.121306,0.180967,0.193443,calls/second,milliseconds
1548920127,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.027528,0.121306,0.180967,0.193443,calls/second,milliseconds
1548920128,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.026791,0.121306,0.180967,0.193443,calls/second,milliseconds
1548920129,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.026096,0.121306,0.180967,0.193443,calls/second,milliseconds
1548920130,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.025415,0.121306,0.180967,0.193443,calls/second,milliseconds
1548920131,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.024803,0.111607,0.177976,0.192372,calls/second,milliseconds
1548920132,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.024196,0.111607,0.177976,0.192372,calls/second,milliseconds
1548920133,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.023613,0.111607,0.177976,0.192372,calls/second,milliseconds
1548920134,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.023083,0.111607,0.177976,0.192372,calls/second,milliseconds
1548920135,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.022564,0.111607,0.177976,0.192372,calls/second,milliseconds
1548920136,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.022062,0.102683,0.175035,0.191306,calls/second,milliseconds
1548920137,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.021587,0.102683,0.175035,0.191306,calls/second,milliseconds
1548920138,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.021132,0.102683,0.175035,0.191306,calls/second,milliseconds
1548920139,1,60.000000,60.000000,60.000000,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,0.020695,0.102683,0.175035,0.191306,calls/second,milliseconds
