t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1548920093,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.806949,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920094,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.592531,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920095,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.387249,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920096,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.284168,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920097,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.222372,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920098,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.181291,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920099,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.154417,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920100,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.132868,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920101,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.117486,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920102,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.105059,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920103,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.095177,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920104,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.087065,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920105,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.080060,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920106,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.074020,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920107,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.068973,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920108,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.064228,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920109,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.060647,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920110,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.057078,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920111,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.054103,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920112,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.051240,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920113,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.048834,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920114,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.046546,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920115,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.044485,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920116,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.042598,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920117,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.040853,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920118,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.039262,0.143306,0.187101,0.195605,calls/second,milliseconds
1548920119,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.037742,0.143306,0.187101,0.195605,calls/second,milliseconds
1548920120,1,12.000000,12.000000,12.000000,0.000000,12.000000,12.000000,12.000000,12.000000,12.000000,12.000000,0.036400,0.143306,0.187101,0.195605,calls/second,milliseconds
