t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1548920092,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.362076,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920093,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.323042,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920094,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.282122,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920095,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.225372,0.000000,0.000000,0.000000,calls/second,milliseconds
1548920096,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.186112,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920097,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.157454,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920098,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.135682,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920099,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.120046,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920100,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.106604,0.200000,0.200000,0.200000,calls/second,milliseconds
1548920101,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.096470,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920102,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.087931,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920103,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.080902,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920104,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.074960,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920105,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.069712,0.184009,0.196694,0.198892,calls/second,milliseconds
1548920106,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.065086,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920107,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.061153,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920108,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.057393,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920109,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.054515,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920110,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.051616,0.169296,0.193443,0.197790,calls/second,milliseconds
1548920111,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.049170,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920112,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.046794,0.155760,0.190246,0.196694,calls/second,milliseconds
1548920113,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.044779,0.155760,0.190246,0.196694,calls/second,milliseconds
