t,value
1548920092,5939200.0
1548920093,6987776.0
1548920094,7118848.0
1548920095,7118848.0
1548920096,7118848.0
1548920097,7118848.0
1548920098,7118848.0
1548920099,7118848.0
1548920100,7118848.0
1548920101,7118848.0
1548920102,7118848.0
1548920103,7118848.0
1548920104,7118848.0
1548920105,7118848.0
1548920106,7118848.0
1548920107,7118848.0
1548920108,7118848.0
1548920109,7118848.0
1548920110,7118848.0
1548920111,7118848.0
1548920112,7118848.0
1548920113,7118848.0
1548920114,7118848.0
1548920115,7118848.0
1548920116,7118848.0
1548920117,7118848.0
1548920118,7118848.0
1548920119,7118848.0
1548920120,7118848.0
1548920121,7118848.0
1548920122,7118848.0
1548920123,7380992.0
1548920124,7380992.0
1548920125,7380992.0
1548920126,7380992.0
1548920127,7380992.0
1548920128,7380992.0
1548920129,7380992.0
1548920130,7380992.0
1548920131,7380992.0
1548920132,7380992.0
1548920133,7380992.0
1548920134,7380992.0
1548920135,7380992.0
1548920136,7380992.0
1548920137,7380992.0
1548920138,7380992.0
1548920139,7380992.0
1548920140,7380992.0
1548920141,7380992.0
1548920142,7380992.0
1548920143,7380992.0
1548920144,7380992.0
1548920145,7380992.0
1548920146,7380992.0
1548920147,7380992.0
1548920148,7380992.0
1548920149,7380992.0
1548920150,7380992.0
1548920151,7380992.0
1548920152,7380992.0
1548920153,7380992.0
1548920154,7380992.0
1548920155,7380992.0
1548920156,7380992.0
1548920157,7380992.0
1548920158,7380992.0
1548920159,7380992.0
1548920160,7380992.0
1548920161,7380992.0
1548920162,7380992.0
1548920163,7380992.0
1548920164,7380992.0
1548920165,7380992.0
1548920166,7380992.0
1548920167,7380992.0
1548920168,7380992.0
1548920169,7380992.0
1548920170,7380992.0
1548920171,7380992.0
1548920172,7380992.0
1548920173,7380992.0
1548920174,7380992.0
1548920175,7380992.0
1548920176,7380992.0
1548920177,7380992.0
1548920178,7380992.0
1548920179,7380992.0
1548920180,7380992.0
1548920181,7380992.0
1548920182,7380992.0
1548920183,7380992.0
1548920184,7380992.0
1548920185,7380992.0
1548920186,7380992.0
1548920187,7380992.0
1548920188,7380992.0
1548920189,7380992.0
1548920190,7380992.0
1548920191,7380992.0
1548920192,7380992.0
1548920193,7380992.0
1548920194,7380992.0
1548920195,7380992.0
1548920196,7380992.0
1548920197,7380992.0
1548920198,7380992.0
1548920199,7380992.0
1548920200,7380992.0
1548920201,7380992.0
1548920202,7380992.0
1548920203,7380992.0
1548920204,7380992.0
1548920205,7380992.0
1548920206,7380992.0
1548920207,7380992.0
1548920208,7380992.0
1548920209,7380992.0
1548920210,7380992.0
1548920211,7380992.0
1548920212,7380992.0
1548920213,7380992.0
1548920214,7380992.0
1548920215,7380992.0
1548920216,7380992.0
1548920217,7380992.0
1548920218,7380992.0
1548920219,7380992.0
1548920220,7380992.0
1548920221,7380992.0
1548920222,7380992.0
1548920223,7380992.0
1548920224,7380992.0
1548920225,7380992.0
1548920226,7380992.0
1548920227,7380992.0
1548920228,7380992.0
1548920229,7380992.0
1548920230,7380992.0
1548920231,7380992.0
1548920232,7380992.0
1548920233,7380992.0
1548920234,7380992.0
1548920235,7380992.0
1548920236,7380992.0
1548920238,7380992.0
1548920240,7380992.0
1548920241,7380992.0
1548920242,7380992.0
1548920242,7380992.0
1548920243,7380992.0
1548920243,7380992.0
1548920244,7380992.0
1548920245,7380992.0
1548920246,7380992.0
1548920247,7380992.0
1548920248,7380992.0
1548920249,7380992.0
1548920250,7380992.0
1548920251,7380992.0
1548920252,7380992.0
1548920253,7380992.0
1548920254,7380992.0
1548920255,7380992.0
1548920256,7380992.0
1548920257,7380992.0
1548920258,7380992.0
1548920259,7380992.0
1548920260,7380992.0
1548920261,7380992.0
1548920262,7380992.0
1548920263,7380992.0
