t,value
1548920092,4.1590784E7
1548920093,4.9455104E7
1548920094,5.0110464E7
1548920095,5.0372608E7
1548920096,5.0372608E7
1548920097,5.0372608E7
1548920098,5.0634752E7
1548920099,5.0634752E7
1548920100,5.0634752E7
1548920101,5.0634752E7
1548920102,5.0634752E7
1548920103,5.0634752E7
1548920104,5.0634752E7
1548920105,5.0634752E7
1548920106,5.0634752E7
1548920107,5.0634752E7
1548920108,5.0634752E7
1548920109,5.0634752E7
1548920110,5.0634752E7
1548920111,5.0634752E7
1548920112,5.0634752E7
1548920113,5.0634752E7
1548920114,5.0634752E7
1548920115,5.0634752E7
1548920116,5.0634752E7
1548920117,5.0634752E7
1548920118,5.0634752E7
1548920119,5.0634752E7
1548920120,5.0634752E7
1548920121,5.0634752E7
1548920122,5.0634752E7
1548920123,5.1945472E7
1548920124,5.1945472E7
1548920125,5.1945472E7
1548920126,5.1945472E7
1548920127,5.1945472E7
1548920128,5.1945472E7
1548920129,5.1945472E7
1548920130,5.1945472E7
1548920131,5.1945472E7
1548920132,5.1945472E7
1548920133,5.1945472E7
1548920134,5.1945472E7
1548920135,5.1945472E7
1548920136,5.1945472E7
1548920137,5.1945472E7
1548920138,5.1945472E7
1548920139,5.1945472E7
1548920140,5.1945472E7
1548920141,5.1945472E7
1548920142,5.1945472E7
1548920143,5.1945472E7
1548920144,5.1945472E7
1548920145,5.1945472E7
1548920146,5.2207616E7
1548920147,5.2207616E7
1548920148,5.2207616E7
1548920149,5.2207616E7
1548920150,5.2207616E7
1548920151,5.2207616E7
1548920152,5.2207616E7
1548920153,5.2207616E7
1548920154,5.2207616E7
1548920155,5.2207616E7
1548920156,5.2207616E7
1548920157,5.2207616E7
1548920158,5.2207616E7
1548920159,5.2207616E7
1548920160,5.2207616E7
1548920161,5.2207616E7
1548920162,5.2207616E7
1548920163,5.2207616E7
1548920164,5.2207616E7
1548920165,5.2207616E7
1548920166,5.2207616E7
1548920167,5.2207616E7
1548920168,5.2207616E7
1548920169,5.2207616E7
1548920170,5.2207616E7
1548920171,5.2207616E7
1548920172,5.2207616E7
1548920173,5.2207616E7
1548920174,5.2207616E7
1548920175,5.2207616E7
1548920176,5.2207616E7
1548920177,5.2207616E7
1548920178,5.2207616E7
1548920179,5.2207616E7
1548920180,5.2207616E7
1548920181,5.2207616E7
1548920182,5.2207616E7
1548920183,5.2207616E7
1548920184,5.2207616E7
1548920185,5.2207616E7
1548920186,5.2207616E7
1548920187,5.2207616E7
1548920188,5.2207616E7
1548920189,5.2207616E7
1548920190,5.2207616E7
1548920191,5.2207616E7
1548920192,5.2207616E7
1548920193,5.2207616E7
1548920194,5.2207616E7
1548920195,5.2207616E7
1548920196,5.2207616E7
1548920197,5.2207616E7
1548920198,5.2207616E7
1548920199,5.2207616E7
1548920200,5.2207616E7
1548920201,5.2207616E7
1548920202,5.2207616E7
1548920203,5.2207616E7
1548920204,5.2207616E7
1548920205,5.2207616E7
1548920206,5.2207616E7
1548920207,5.2207616E7
1548920208,5.2207616E7
1548920209,5.2207616E7
1548920210,5.2207616E7
1548920211,5.2207616E7
1548920212,5.2207616E7
1548920213,5.2207616E7
1548920214,5.2207616E7
1548920215,5.2207616E7
1548920216,5.2207616E7
1548920217,5.2207616E7
1548920218,5.2207616E7
1548920219,5.2207616E7
1548920220,5.2207616E7
1548920221,5.2207616E7
1548920222,5.2207616E7
1548920223,5.2207616E7
1548920224,5.2207616E7
1548920225,5.2207616E7
1548920226,5.2207616E7
1548920227,5.2207616E7
1548920228,5.2207616E7
1548920229,5.2207616E7
1548920230,5.2207616E7
1548920231,5.2207616E7
1548920232,5.2207616E7
1548920233,5.2207616E7
1548920234,5.2207616E7
1548920235,5.2207616E7
1548920236,5.2207616E7
1548920238,5.2207616E7
1548920240,5.2207616E7
1548920241,5.2207616E7
1548920242,5.2207616E7
1548920242,5.2207616E7
1548920243,5.2207616E7
1548920243,5.2207616E7
1548920244,5.2207616E7
1548920245,5.2207616E7
1548920246,5.2207616E7
1548920247,5.2207616E7
1548920248,5.2207616E7
1548920249,5.2207616E7
1548920250,5.2207616E7
1548920251,5.2207616E7
1548920252,5.2207616E7
1548920253,5.2207616E7
1548920254,5.2207616E7
1548920255,5.2207616E7
1548920256,5.2207616E7
1548920257,5.2207616E7
1548920258,5.2207616E7
1548920259,5.2207616E7
1548920260,5.2207616E7
1548920261,5.2207616E7
1548920262,5.2207616E7
1548920263,5.2207616E7
