t,value
1548920092,6.77904384E8
1548920093,6.75282944E8
1548920094,6.75282944E8
1548920095,6.75282944E8
1548920096,6.75282944E8
1548920097,6.75282944E8
1548920098,6.75282944E8
1548920099,6.75282944E8
1548920100,6.75282944E8
1548920101,6.75282944E8
1548920102,6.75282944E8
1548920103,6.75282944E8
1548920104,6.75282944E8
1548920105,6.75282944E8
1548920106,6.75282944E8
1548920107,6.75282944E8
1548920108,6.75282944E8
1548920109,6.75282944E8
1548920110,6.75282944E8
1548920111,6.75282944E8
1548920112,6.75282944E8
1548920113,6.75282944E8
1548920114,6.75282944E8
1548920115,6.75282944E8
1548920116,6.75282944E8
1548920117,6.75282944E8
1548920118,6.75282944E8
1548920119,6.75282944E8
1548920120,6.75282944E8
1548920121,6.75282944E8
1548920122,6.75282944E8
1548920123,6.74758656E8
1548920124,6.74758656E8
1548920125,6.74758656E8
1548920126,6.74758656E8
1548920127,6.74758656E8
1548920128,6.74758656E8
1548920129,6.74758656E8
1548920130,6.74758656E8
1548920131,6.74758656E8
1548920132,6.74758656E8
1548920133,6.74758656E8
1548920134,6.74758656E8
1548920135,6.74758656E8
1548920136,6.74758656E8
1548920137,6.74758656E8
1548920138,6.74758656E8
1548920139,6.74758656E8
1548920140,6.74758656E8
1548920141,6.74758656E8
1548920142,6.74758656E8
1548920143,6.74758656E8
1548920144,6.74758656E8
1548920145,6.74758656E8
1548920146,6.74758656E8
1548920147,6.74758656E8
1548920148,6.74758656E8
1548920149,6.74758656E8
1548920150,6.74758656E8
1548920151,6.74758656E8
1548920152,6.74758656E8
1548920153,6.74758656E8
1548920154,6.74758656E8
1548920155,6.74758656E8
1548920156,6.74758656E8
1548920157,6.74758656E8
1548920158,6.74758656E8
1548920159,6.74758656E8
1548920160,6.74758656E8
1548920161,6.74758656E8
1548920162,6.74758656E8
1548920163,6.74758656E8
1548920164,6.74758656E8
1548920165,6.74758656E8
1548920166,6.74758656E8
1548920167,6.74758656E8
1548920168,6.74758656E8
1548920169,6.74758656E8
1548920170,6.74758656E8
1548920171,6.74758656E8
1548920172,6.74758656E8
1548920173,6.74758656E8
1548920174,6.74758656E8
1548920175,6.74758656E8
1548920176,6.74758656E8
1548920177,6.74758656E8
1548920178,6.74758656E8
1548920179,6.74758656E8
1548920180,6.74758656E8
1548920181,6.74758656E8
1548920182,6.74758656E8
1548920183,6.74758656E8
1548920184,6.74758656E8
1548920185,6.74758656E8
1548920186,6.74758656E8
1548920187,6.74758656E8
1548920188,6.74758656E8
1548920189,6.74758656E8
1548920190,6.74758656E8
1548920191,6.74758656E8
1548920192,6.74758656E8
1548920193,6.74758656E8
1548920194,6.74758656E8
1548920195,6.74758656E8
1548920196,6.74758656E8
1548920197,6.74758656E8
1548920198,6.74758656E8
1548920199,6.74758656E8
1548920200,6.74758656E8
1548920201,6.74758656E8
1548920202,6.74758656E8
1548920203,6.74758656E8
1548920204,6.74758656E8
1548920205,6.74758656E8
1548920206,6.74758656E8
1548920207,6.74758656E8
1548920208,6.74758656E8
1548920209,6.74758656E8
1548920210,6.74758656E8
1548920211,6.74758656E8
1548920212,6.74758656E8
1548920213,6.74758656E8
1548920214,6.74758656E8
1548920215,6.74758656E8
1548920216,6.74758656E8
1548920217,6.74758656E8
1548920218,6.74758656E8
1548920219,6.74758656E8
1548920220,6.74758656E8
1548920221,6.74758656E8
1548920222,6.74758656E8
1548920223,6.74758656E8
1548920224,6.74758656E8
1548920225,6.74758656E8
1548920226,6.74758656E8
1548920227,6.74758656E8
1548920228,6.74758656E8
1548920229,6.74758656E8
1548920230,6.74758656E8
1548920231,6.74758656E8
1548920232,6.74758656E8
1548920233,6.74758656E8
1548920234,6.74758656E8
1548920235,6.74758656E8
1548920236,6.74758656E8
1548920238,6.74758656E8
1548920240,6.74758656E8
1548920241,6.7895296E8
1548920242,6.7895296E8
1548920242,6.7895296E8
1548920243,6.7895296E8
1548920243,6.7895296E8
1548920244,6.7895296E8
1548920245,6.7895296E8
1548920246,6.7895296E8
1548920247,6.7895296E8
1548920248,6.7895296E8
1548920249,6.7895296E8
1548920250,6.7895296E8
1548920251,6.7895296E8
1548920252,6.7895296E8
1548920253,6.7895296E8
1548920254,6.7895296E8
1548920255,6.7895296E8
1548920256,6.7895296E8
1548920257,6.7895296E8
1548920258,6.7895296E8
1548920259,6.7895296E8
1548920260,6.7895296E8
1548920261,6.7895296E8
1548920262,6.7895296E8
1548920263,6.7895296E8
