t,value
1548920092,2.5165824E8
1548920093,2.5165824E8
1548920094,2.5165824E8
1548920095,2.5165824E8
1548920096,2.5165824E8
1548920097,2.5165824E8
1548920098,2.5165824E8
1548920099,2.5165824E8
1548920100,2.5165824E8
1548920101,2.5165824E8
1548920102,2.5165824E8
1548920103,2.5165824E8
1548920104,2.5165824E8
1548920105,2.5165824E8
1548920106,2.5165824E8
1548920107,2.5165824E8
1548920108,2.5165824E8
1548920109,2.5165824E8
1548920110,2.5165824E8
1548920111,2.5165824E8
1548920112,2.5165824E8
1548920113,2.5165824E8
1548920114,2.5165824E8
1548920115,2.5165824E8
1548920116,2.5165824E8
1548920117,2.5165824E8
1548920118,2.5165824E8
1548920119,2.5165824E8
1548920120,2.5165824E8
1548920121,2.5165824E8
1548920122,2.5165824E8
1548920123,2.5165824E8
1548920124,2.5165824E8
1548920125,2.5165824E8
1548920126,2.5165824E8
1548920127,2.5165824E8
1548920128,2.5165824E8
1548920129,2.5165824E8
1548920130,2.5165824E8
1548920131,2.5165824E8
1548920132,2.5165824E8
1548920133,2.5165824E8
1548920134,2.5165824E8
1548920135,2.5165824E8
1548920136,2.5165824E8
1548920137,2.5165824E8
1548920138,2.5165824E8
1548920139,2.5165824E8
1548920140,2.5165824E8
1548920141,2.5165824E8
1548920142,2.5165824E8
1548920143,2.5165824E8
1548920144,2.5165824E8
1548920145,2.5165824E8
1548920146,2.5165824E8
1548920147,2.5165824E8
1548920148,2.5165824E8
1548920149,2.5165824E8
1548920150,2.5165824E8
1548920151,2.5165824E8
1548920152,2.5165824E8
1548920153,2.5165824E8
1548920154,2.5165824E8
1548920155,2.5165824E8
1548920156,2.5165824E8
1548920157,2.5165824E8
1548920158,2.5165824E8
1548920159,2.5165824E8
1548920160,2.5165824E8
1548920161,2.5165824E8
1548920162,2.5165824E8
1548920163,2.5165824E8
1548920164,2.5165824E8
1548920165,2.5165824E8
1548920166,2.5165824E8
1548920167,2.5165824E8
1548920168,2.5165824E8
1548920169,2.5165824E8
1548920170,2.5165824E8
1548920171,2.5165824E8
1548920172,2.5165824E8
1548920173,2.5165824E8
1548920174,2.5165824E8
1548920175,2.5165824E8
1548920176,2.5165824E8
1548920177,2.5165824E8
1548920178,2.5165824E8
1548920179,2.5165824E8
1548920180,2.5165824E8
1548920181,2.5165824E8
1548920182,2.5165824E8
1548920183,2.5165824E8
1548920184,2.5165824E8
1548920185,2.5165824E8
1548920186,2.5165824E8
1548920187,2.5165824E8
1548920188,2.5165824E8
1548920189,2.5165824E8
1548920190,2.5165824E8
1548920191,2.5165824E8
1548920192,2.5165824E8
1548920193,2.5165824E8
1548920194,2.5165824E8
1548920195,2.5165824E8
1548920196,2.5165824E8
1548920197,2.5165824E8
1548920198,2.5165824E8
1548920199,2.5165824E8
1548920200,2.5165824E8
1548920201,2.5165824E8
1548920202,2.5165824E8
1548920203,2.5165824E8
1548920204,2.5165824E8
1548920205,2.5165824E8
1548920206,2.5165824E8
1548920207,2.5165824E8
1548920208,2.5165824E8
1548920209,2.5165824E8
1548920210,2.5165824E8
1548920211,2.5165824E8
1548920212,2.5165824E8
1548920213,2.5165824E8
1548920214,2.5165824E8
1548920215,2.5165824E8
1548920216,2.5165824E8
1548920217,2.5165824E8
1548920218,2.5165824E8
1548920219,2.5165824E8
1548920220,2.5165824E8
1548920221,2.5165824E8
1548920222,2.5165824E8
1548920223,2.5165824E8
1548920224,2.5165824E8
1548920225,2.5165824E8
1548920226,2.5165824E8
1548920227,2.5165824E8
1548920228,2.5165824E8
1548920229,2.5165824E8
1548920230,2.5165824E8
1548920231,2.5165824E8
1548920232,2.5165824E8
1548920233,2.5165824E8
1548920234,2.5165824E8
1548920235,2.5165824E8
1548920236,2.5165824E8
1548920238,2.5165824E8
1548920240,2.5165824E8
1548920241,2.5165824E8
1548920242,2.5165824E8
1548920242,2.5165824E8
1548920243,2.5165824E8
1548920243,2.5165824E8
1548920244,2.5165824E8
1548920245,2.5165824E8
1548920246,2.5165824E8
1548920247,2.5165824E8
1548920248,2.5165824E8
1548920249,2.5165824E8
1548920250,2.5165824E8
1548920251,2.5165824E8
1548920252,2.5165824E8
1548920253,2.5165824E8
1548920254,2.5165824E8
1548920255,2.5165824E8
1548920256,2.5165824E8
1548920257,2.5165824E8
1548920258,2.5165824E8
1548920259,2.5165824E8
1548920260,2.5165824E8
1548920261,2.5165824E8
1548920262,2.5165824E8
1548920263,2.5165824E8
