t,value
1548920092,1.10107312E8
1548920093,7.1660592E7
1548920094,9.0950616E7
1548920095,9.3585176E7
1548920096,9.4726888E7
1548920097,9.5860296E7
1548920098,9.8212192E7
1548920099,9.9345624E7
1548920100,1.007788E8
1548920101,1.01920416E8
1548920102,1.03053888E8
1548920103,1.0447888E8
1548920104,1.05620496E8
1548920105,1.06753904E8
1548920106,1.08187144E8
1548920107,1.09328856E8
1548920108,1.10478776E8
1548920109,1.1192016E8
1548920110,1.13061984E8
1548920111,1.14487096E8
1548920112,1.15620504E8
1548920113,1.16778536E8
1548920114,1.18211776E8
1548920115,1.19345184E8
1548920116,1.20770152E8
1548920117,1.2190356E8
1548920118,1.23791712E8
1548920119,1.2492512E8
1548920120,1.26058528E8
1548920121,1.27491704E8
1548920122,1.28625144E8
1548920123,5726896.0
1548920124,9141416.0
1548920125,1.0241152E7
1548920126,1.191312E7
1548920127,1.356268E7
1548920128,1.4662416E7
1548920129,1.6311976E7
1548920130,1.7411712E7
1548920131,1.9282632E7
1548920132,2.038228E7
1548920133,2.2031752E7
1548920134,2.31314E7
1548920135,2.4780872E7
1548920136,2.588052E7
1548920137,2.7529992E7
1548920138,2.862964E7
1548920139,3.0279112E7
1548920140,3.1945232E7
1548920141,3.3594704E7
1548920142,3.4694352E7
1548920143,3.6343824E7
1548920144,3.7443472E7
1548920145,3.8543216E7
1548920146,4.0192688E7
1548920147,4.1292336E7
1548920148,4.2941808E7
1548920149,4.4041552E7
1548920150,4.59798E7
1548920151,4.7079448E7
1548920152,4.872892E7
1548920153,4.9828568E7
1548920154,5.147804E7
1548920155,5.2577688E7
1548920156,5.422716E7
1548920157,5.5326952E7
1548920158,5.6976424E7
1548920159,5.8076072E7
1548920160,6.0291872E7
1548920161,6.139152E7
1548920162,6.2491264E7
1548920163,6.4140736E7
1548920164,6.5240384E7
1548920165,6.6889856E7
1548920166,6.7989504E7
1548920167,6.9638976E7
1548920168,7.0738624E7
1548920169,7.2388096E7
1548920170,7.3524224E7
1548920171,7.5173792E7
1548920172,7.627344E7
1548920173,7.7922912E7
1548920174,7.902256E7
1548920175,8.0122208E7
1548920176,8.177168E7
1548920177,8.2871328E7
1548920178,8.4809576E7
1548920179,8.5909224E7
1548920180,8.8125104E7
1548920181,8.9224752E7
1548920182,9.03244E7
1548920183,9.1973872E7
1548920184,9.3407E7
1548920185,9.5056472E7
1548920186,9.615612E7
1548920187,9.7805592E7
1548920188,9.890524E7
1548920189,1.00554712E8
1548920190,1.0165436E8
1548920191,1.02754008E8
1548920192,1.0440348E8
1548920193,1.05503128E8
1548920194,1.071526E8
1548920195,1.08252392E8
1548920196,1.09901864E8
1548920197,1.11001512E8
1548920198,1.1210116E8
1548920199,1.13750632E8
1548920200,1.15416608E8
1548920201,1.1706608E8
1548920202,1.18462712E8
1548920203,1.20112264E8
1548920204,1.21211912E8
1548920205,1.2231156E8
1548920206,1.23961032E8
1548920207,1.2506068E8
1548920208,1.26710152E8
1548920209,1.278098E8
1548920210,1.29459368E8
1548920211,1.30559016E8
1548920212,1.32208488E8
1548920213,1.33308136E8
1548920214,1.34407784E8
1548920215,1.36057256E8
1548920216,1.37156904E8
1548920217,1.38806376E8
1548920218,1.39906168E8
1548920219,1.4155564E8
1548920220,1.43221616E8
1548920221,1.44321264E8
1548920222,1.45970736E8
1548920223,1.47070384E8
1548920224,1.48719856E8
1548920225,1.49819504E8
1548920226,1.51469072E8
1548920227,1.5256872E8
1548920228,1.53668368E8
1548920229,1.5531784E8
1548920230,1.56714472E8
1548920231,1.58363944E8
1548920232,1.59463592E8
1548920233,1.61113064E8
1548920234,1.62212712E8
1548920235,1.6386228E8
1548920236,1.64961928E8
1548920238,1.66061576E8
1548920240,1.69690408E8
1548920241,2248328.0
1548920242,4824040.0
1548920242,6224576.0
1548920243,7898712.0
1548920243,9451792.0
1548920244,1.1055352E7
1548920245,1.2455888E7
1548920246,1.3856504E7
1548920247,1.525704E7
1548920248,1.6657576E7
1548920249,1.8058112E7
1548920250,1.9458648E7
1548920251,2.0881528E7
1548920252,2.0881528E7
1548920253,2.2282064E7
1548920254,2.36826E7
1548920255,2.5083168E7
1548920256,2.6483704E7
1548920257,2.788424E7
1548920258,2.9474424E7
1548920259,3.087496E7
1548920260,3.28226E7
1548920261,3.4223136E7
1548920262,3.5623672E7
1548920263,3.7024208E7
