t,value
1548920092,8835776.0
1548920093,9604480.0
1548920094,9820736.0
1548920095,9868096.0
1548920096,9939008.0
1548920097,9995712.0
1548920098,1.0049664E7
1548920099,1.0049664E7
1548920100,1.0069632E7
1548920101,1.0070528E7
1548920102,1.0085696E7
1548920103,1.0103552E7
1548920104,1.0127168E7
1548920105,1.0129216E7
1548920106,1.0132608E7
1548920107,1.0156992E7
1548920108,1.0152256E7
1548920109,1.01536E7
1548920110,1.0161152E7
1548920111,1.0161792E7
1548920112,1.0169216E7
1548920113,1.0172992E7
1548920114,1.0182016E7
1548920115,1.0183488E7
1548920116,1.0183488E7
1548920117,1.0188928E7
1548920118,1.0196288E7
1548920119,1.0197696E7
1548920120,1.020512E7
1548920121,1.0206784E7
1548920122,1.0213568E7
1548920123,1.0282048E7
1548920124,1.031168E7
1548920125,1.0315072E7
1548920126,1.0320512E7
1548920127,1.0322368E7
1548920128,1.0322368E7
1548920129,1.032832E7
1548920130,1.033856E7
1548920131,1.0349568E7
1548920132,1.0352576E7
1548920133,1.0352576E7
1548920134,1.0363712E7
1548920135,1.0377984E7
1548920136,1.0377984E7
1548920137,1.038208E7
1548920138,1.039808E7
1548920139,1.039808E7
1548920140,1.0429888E7
1548920141,1.043552E7
1548920142,1.0467584E7
1548920143,1.0480896E7
1548920144,1.0483072E7
1548920145,1.0488E7
1548920146,1.0530048E7
1548920147,1.0530048E7
1548920148,1.0530048E7
1548920149,1.0538816E7
1548920150,1.054656E7
1548920151,1.0549952E7
1548920152,1.0549952E7
1548920153,1.0549952E7
1548920154,1.05664E7
1548920155,1.056896E7
1548920156,1.0602304E7
1548920157,1.0604416E7
1548920158,1.0610944E7
1548920159,1.0613632E7
1548920160,1.0630592E7
1548920161,1.0630592E7
1548920162,1.0640128E7
1548920163,1.0641792E7
1548920164,1.0641792E7
1548920165,1.0645312E7
1548920166,1.0660544E7
1548920167,1.0660544E7
1548920168,1.0662464E7
1548920169,1.066336E7
1548920170,1.067456E7
1548920171,1.0696512E7
1548920172,1.0708096E7
1548920173,1.0708096E7
1548920174,1.0723328E7
1548920175,1.0727616E7
1548920176,1.073024E7
1548920177,1.073216E7
1548920178,1.0741696E7
1548920179,1.0744E7
1548920180,1.0761664E7
1548920181,1.0763904E7
1548920182,1.077664E7
1548920183,1.0781568E7
1548920184,1.0788288E7
1548920185,1.0788288E7
1548920186,1.0792512E7
1548920187,1.080032E7
1548920188,1.080032E7
1548920189,1.080032E7
1548920190,1.0808128E7
1548920191,1.0808128E7
1548920192,1.0808128E7
1548920193,1.0813376E7
1548920194,1.0830848E7
1548920195,1.0832896E7
1548920196,1.0842624E7
1548920197,1.0842624E7
1548920198,1.0842624E7
1548920199,1.084416E7
1548920200,1.0857152E7
1548920201,1.0857152E7
1548920202,1.086592E7
1548920203,1.086592E7
1548920204,1.086592E7
1548920205,1.0867648E7
1548920206,1.0874496E7
1548920207,1.0876224E7
1548920208,1.0876928E7
1548920209,1.0876928E7
1548920210,1.0888384E7
1548920211,1.089344E7
1548920212,1.089344E7
1548920213,1.089344E7
1548920214,1.0913984E7
1548920215,1.0913984E7
1548920216,1.0917184E7
1548920217,1.092576E7
1548920218,1.0931584E7
1548920219,1.0937152E7
1548920220,1.0948096E7
1548920221,1.0948096E7
1548920222,1.0954624E7
1548920223,1.0954624E7
1548920224,1.0954624E7
1548920225,1.0954624E7
1548920226,1.0956608E7
1548920227,1.0956608E7
1548920228,1.0956608E7
1548920229,1.0956608E7
1548920230,1.095872E7
1548920231,1.095872E7
1548920232,1.095872E7
1548920233,1.095872E7
1548920234,1.0961472E7
1548920235,1.0961472E7
1548920236,1.0961472E7
1548920238,1.0964992E7
1548920240,1.09872E7
1548920241,1.0991104E7
1548920242,1.0997056E7
1548920242,1.0997056E7
1548920243,1.0997056E7
1548920243,1.1000576E7
1548920244,1.1000576E7
1548920245,1.1000576E7
1548920246,1.1000576E7
1548920247,1.1000576E7
1548920248,1.1000576E7
1548920249,1.1000576E7
1548920250,1.1000576E7
1548920251,1.1005376E7
1548920252,1.1005376E7
1548920253,1.1005376E7
1548920254,1.1005376E7
1548920255,1.1005376E7
1548920256,1.1005376E7
1548920257,1.1005376E7
1548920258,1.101088E7
1548920259,1.1016448E7
1548920260,1.1031488E7
1548920261,1.1031488E7
1548920262,1.1032192E7
1548920263,1.1032192E7
