t,value
1548920092,5479584.0
1548920093,6532680.0
1548920094,6639480.0
1548920095,6648008.0
1548920096,6648008.0
1548920097,6648576.0
1548920098,6653992.0
1548920099,6653992.0
1548920100,6653992.0
1548920101,6655144.0
1548920102,6655144.0
1548920103,6655144.0
1548920104,6655144.0
1548920105,6655144.0
1548920106,6655144.0
1548920107,6655144.0
1548920108,6656280.0
1548920109,6656280.0
1548920110,6659616.0
1548920111,6659616.0
1548920112,6659616.0
1548920113,6659616.0
1548920114,6659616.0
1548920115,6659616.0
1548920116,6659616.0
1548920117,6659616.0
1548920118,6659616.0
1548920119,6659616.0
1548920120,6659616.0
1548920121,6659616.0
1548920122,6660184.0
1548920123,6833616.0
1548920124,6835888.0
1548920125,6835888.0
1548920126,6835888.0
1548920127,6835888.0
1548920128,6835888.0
1548920129,6835888.0
1548920130,6835888.0
1548920131,6836456.0
1548920132,6836456.0
1548920133,6836456.0
1548920134,6836456.0
1548920135,6836456.0
1548920136,6836456.0
1548920137,6836456.0
1548920138,6836456.0
1548920139,6836456.0
1548920140,6838728.0
1548920141,6838728.0
1548920142,6838728.0
1548920143,6838728.0
1548920144,6838728.0
1548920145,6838728.0
1548920146,6840432.0
1548920147,6840432.0
1548920148,6840432.0
1548920149,6840432.0
1548920150,6840432.0
1548920151,6841400.0
1548920152,6841400.0
1548920153,6841400.0
1548920154,6841968.0
1548920155,6841968.0
1548920156,6841968.0
1548920157,6841968.0
1548920158,6841968.0
1548920159,6841968.0
1548920160,6841968.0
1548920161,6841968.0
1548920162,6841968.0
1548920163,6841968.0
1548920164,6841968.0
1548920165,6841968.0
1548920166,6841968.0
1548920167,6841968.0
1548920168,6841968.0
1548920169,6841968.0
1548920170,6841968.0
1548920171,6841968.0
1548920172,6841968.0
1548920173,6841968.0
1548920174,6841968.0
1548920175,6841968.0
1548920176,6841968.0
1548920177,6841968.0
1548920178,6841968.0
1548920179,6841968.0
1548920180,6841968.0
1548920181,6841968.0
1548920182,6841968.0
1548920183,6841968.0
1548920184,6841968.0
1548920185,6841968.0
1548920186,6841968.0
1548920187,6841968.0
1548920188,6841968.0
1548920189,6841968.0
1548920190,6841968.0
1548920191,6841968.0
1548920192,6841968.0
1548920193,6841968.0
1548920194,6841968.0
1548920195,6841968.0
1548920196,6841968.0
1548920197,6841968.0
1548920198,6841968.0
1548920199,6841968.0
1548920200,6842536.0
1548920201,6842536.0
1548920202,6842536.0
1548920203,6842536.0
1548920204,6842536.0
1548920205,6842536.0
1548920206,6842536.0
1548920207,6842536.0
1548920208,6842536.0
1548920209,6842536.0
1548920210,6842536.0
1548920211,6842536.0
1548920212,6842536.0
1548920213,6842536.0
1548920214,6842536.0
1548920215,6842536.0
1548920216,6842536.0
1548920217,6842536.0
1548920218,6842536.0
1548920219,6842536.0
1548920220,6842536.0
1548920221,6842536.0
1548920222,6842536.0
1548920223,6842536.0
1548920224,6842536.0
1548920225,6842536.0
1548920226,6842536.0
1548920227,6842536.0
1548920228,6842536.0
1548920229,6842536.0
1548920230,6842536.0
1548920231,6842536.0
1548920232,6842536.0
1548920233,6842536.0
1548920234,6842536.0
1548920235,6842536.0
1548920236,6842536.0
1548920238,6842536.0
1548920240,6842536.0
1548920241,6842536.0
1548920242,6842536.0
1548920242,6842536.0
1548920243,6842536.0
1548920243,6842536.0
1548920244,6842536.0
1548920245,6842536.0
1548920246,6842536.0
1548920247,6842536.0
1548920248,6842536.0
1548920249,6842536.0
1548920250,6842536.0
1548920251,6842536.0
1548920252,6842536.0
1548920253,6842536.0
1548920254,6842536.0
1548920255,6842536.0
1548920256,6842536.0
1548920257,6842536.0
1548920258,6842536.0
1548920259,6842536.0
1548920260,6842536.0
1548920261,6842536.0
1548920262,6842536.0
1548920263,6842536.0
