t,value
1548920092,3.9674088E7
1548920093,4.7060712E7
1548920094,4.766952E7
1548920095,4.7710536E7
1548920096,4.77106E7
1548920097,4.771448E7
1548920098,4.7763432E7
1548920099,4.7763432E7
1548920100,4.7768656E7
1548920101,4.7772592E7
1548920102,4.7772688E7
1548920103,4.7772688E7
1548920104,4.7772688E7
1548920105,4.7772688E7
1548920106,4.7772688E7
1548920107,4.7772688E7
1548920108,4.7780384E7
1548920109,4.7780448E7
1548920110,4.7802648E7
1548920111,4.7802808E7
1548920112,4.7802808E7
1548920113,4.7802808E7
1548920114,4.7802808E7
1548920115,4.7802808E7
1548920116,4.7802808E7
1548920117,4.7802808E7
1548920118,4.7802808E7
1548920119,4.7802808E7
1548920120,4.7802808E7
1548920121,4.7802808E7
1548920122,4.7804664E7
1548920123,4.9069264E7
1548920124,4.9077616E7
1548920125,4.9077616E7
1548920126,4.9077616E7
1548920127,4.9077616E7
1548920128,4.9077616E7
1548920129,4.9077616E7
1548920130,4.9077616E7
1548920131,4.9081464E7
1548920132,4.9081496E7
1548920133,4.9081496E7
1548920134,4.9081496E7
1548920135,4.9081496E7
1548920136,4.9081496E7
1548920137,4.9081496E7
1548920138,4.9081496E7
1548920139,4.9081496E7
1548920140,4.908892E7
1548920141,4.9088952E7
1548920142,4.9088952E7
1548920143,4.9088952E7
1548920144,4.9088952E7
1548920145,4.9088952E7
1548920146,4.9096416E7
1548920147,4.9096416E7
1548920148,4.9096416E7
1548920149,4.9096416E7
1548920150,4.9096512E7
1548920151,4.9103752E7
1548920152,4.9103752E7
1548920153,4.9103752E7
1548920154,4.9105608E7
1548920155,4.9105608E7
1548920156,4.9105608E7
1548920157,4.9105608E7
1548920158,4.9105608E7
1548920159,4.9105608E7
1548920160,4.9106648E7
1548920161,4.910668E7
1548920162,4.910668E7
1548920163,4.910668E7
1548920164,4.910668E7
1548920165,4.910668E7
1548920166,4.910668E7
1548920167,4.910668E7
1548920168,4.910668E7
1548920169,4.910668E7
1548920170,4.9106904E7
1548920171,4.9106904E7
1548920172,4.9106904E7
1548920173,4.9106904E7
1548920174,4.9106904E7
1548920175,4.9106904E7
1548920176,4.9106904E7
1548920177,4.9106904E7
1548920178,4.9110392E7
1548920179,4.9110392E7
1548920180,4.9111016E7
1548920181,4.9111016E7
1548920182,4.9111016E7
1548920183,4.9111016E7
1548920184,4.9111016E7
1548920185,4.9111016E7
1548920186,4.9111016E7
1548920187,4.9111016E7
1548920188,4.9111016E7
1548920189,4.9111016E7
1548920190,4.9111016E7
1548920191,4.9111016E7
1548920192,4.9111016E7
1548920193,4.9113576E7
1548920194,4.9113576E7
1548920195,4.9113576E7
1548920196,4.9113576E7
1548920197,4.9113576E7
1548920198,4.9113576E7
1548920199,4.9113576E7
1548920200,4.9115464E7
1548920201,4.9115464E7
1548920202,4.9115464E7
1548920203,4.9115464E7
1548920204,4.9115464E7
1548920205,4.9115464E7
1548920206,4.9115464E7
1548920207,4.9115464E7
1548920208,4.9115464E7
1548920209,4.9115464E7
1548920210,4.9115464E7
1548920211,4.9115464E7
1548920212,4.9115464E7
1548920213,4.9115464E7
1548920214,4.9115496E7
1548920215,4.9115496E7
1548920216,4.9115496E7
1548920217,4.9115496E7
1548920218,4.9115496E7
1548920219,4.9115496E7
1548920220,4.9115496E7
1548920221,4.9115496E7
1548920222,4.9115496E7
1548920223,4.9115496E7
1548920224,4.9115496E7
1548920225,4.9115496E7
1548920226,4.9115496E7
1548920227,4.9115496E7
1548920228,4.9115496E7
1548920229,4.9115496E7
1548920230,4.9115496E7
1548920231,4.9115496E7
1548920232,4.9115496E7
1548920233,4.9115496E7
1548920234,4.9115496E7
1548920235,4.9115496E7
1548920236,4.9115496E7
1548920238,4.9115496E7
1548920240,4.9115752E7
1548920241,4.9115752E7
1548920242,4.9115752E7
1548920242,4.9115752E7
1548920243,4.9115752E7
1548920243,4.9115752E7
1548920244,4.9115752E7
1548920245,4.9115752E7
1548920246,4.9115752E7
1548920247,4.9115752E7
1548920248,4.9115752E7
1548920249,4.9115752E7
1548920250,4.9115752E7
1548920251,4.9115752E7
1548920252,4.9115752E7
1548920253,4.9115752E7
1548920254,4.9115752E7
1548920255,4.9115752E7
1548920256,4.9115752E7
1548920257,4.9115752E7
1548920258,4.9115752E7
1548920259,4.9115752E7
1548920260,4.9115752E7
1548920261,4.9115752E7
1548920262,4.9115752E7
1548920263,4.9115752E7
