t,value
1548920092,15.0
1548920093,34.0
1548920094,36.0
1548920095,36.0
1548920096,36.0
1548920097,36.0
1548920098,37.0
1548920099,37.0
1548920100,37.0
1548920101,37.0
1548920102,37.0
1548920103,37.0
1548920104,37.0
1548920105,37.0
1548920106,37.0
1548920107,37.0
1548920108,37.0
1548920109,37.0
1548920110,37.0
1548920111,37.0
1548920112,37.0
1548920113,37.0
1548920114,37.0
1548920115,37.0
1548920116,37.0
1548920117,37.0
1548920118,37.0
1548920119,37.0
1548920120,37.0
1548920121,37.0
1548920122,37.0
1548920123,37.0
1548920124,38.0
1548920125,38.0
1548920126,38.0
1548920127,38.0
1548920128,38.0
1548920129,38.0
1548920130,38.0
1548920131,38.0
1548920132,38.0
1548920133,38.0
1548920134,38.0
1548920135,38.0
1548920136,38.0
1548920137,38.0
1548920138,38.0
1548920139,38.0
1548920140,38.0
1548920141,38.0
1548920142,38.0
1548920143,38.0
1548920144,38.0
1548920145,38.0
1548920146,38.0
1548920147,38.0
1548920148,38.0
1548920149,38.0
1548920150,38.0
1548920151,38.0
1548920152,38.0
1548920153,38.0
1548920154,38.0
1548920155,38.0
1548920156,38.0
1548920157,38.0
1548920158,38.0
1548920159,38.0
1548920160,38.0
1548920161,38.0
1548920162,38.0
1548920163,38.0
1548920164,38.0
1548920165,38.0
1548920166,38.0
1548920167,38.0
1548920168,38.0
1548920169,38.0
1548920170,34.0
1548920171,34.0
1548920172,34.0
1548920173,34.0
1548920174,34.0
1548920175,34.0
1548920176,34.0
1548920177,34.0
1548920178,34.0
1548920179,34.0
1548920180,34.0
1548920181,34.0
1548920182,34.0
1548920183,34.0
1548920184,34.0
1548920185,34.0
1548920186,34.0
1548920187,34.0
1548920188,34.0
1548920189,34.0
1548920190,34.0
1548920191,34.0
1548920192,34.0
1548920193,34.0
1548920194,34.0
1548920195,34.0
1548920196,34.0
1548920197,34.0
1548920198,34.0
1548920199,34.0
1548920200,34.0
1548920201,34.0
1548920202,34.0
1548920203,34.0
1548920204,34.0
1548920205,34.0
1548920206,34.0
1548920207,34.0
1548920208,34.0
1548920209,34.0
1548920210,34.0
1548920211,34.0
1548920212,34.0
1548920213,34.0
1548920214,34.0
1548920215,34.0
1548920216,34.0
1548920217,34.0
1548920218,34.0
1548920219,34.0
1548920220,34.0
1548920221,34.0
1548920222,34.0
1548920223,34.0
1548920224,34.0
1548920225,34.0
1548920226,34.0
1548920227,34.0
1548920228,34.0
1548920229,34.0
1548920230,34.0
1548920231,34.0
1548920232,34.0
1548920233,34.0
1548920234,34.0
1548920235,34.0
1548920236,34.0
1548920238,34.0
1548920240,35.0
1548920241,35.0
1548920242,35.0
1548920242,35.0
1548920243,35.0
1548920243,35.0
1548920244,35.0
1548920245,35.0
1548920246,35.0
1548920247,35.0
1548920248,35.0
1548920249,35.0
1548920250,35.0
1548920251,35.0
1548920252,35.0
1548920253,35.0
1548920254,35.0
1548920255,35.0
1548920256,35.0
1548920257,35.0
1548920258,35.0
1548920259,35.0
1548920260,35.0
1548920261,35.0
1548920262,35.0
1548920263,35.0
