t,value
1548920092,18.0
1548920093,37.0
1548920094,39.0
1548920095,39.0
1548920096,39.0
1548920097,39.0
1548920098,40.0
1548920099,40.0
1548920100,40.0
1548920101,40.0
1548920102,40.0
1548920103,40.0
1548920104,40.0
1548920105,40.0
1548920106,40.0
1548920107,40.0
1548920108,40.0
1548920109,40.0
1548920110,40.0
1548920111,40.0
1548920112,40.0
1548920113,40.0
1548920114,40.0
1548920115,40.0
1548920116,40.0
1548920117,40.0
1548920118,40.0
1548920119,40.0
1548920120,40.0
1548920121,40.0
1548920122,40.0
1548920123,40.0
1548920124,41.0
1548920125,41.0
1548920126,41.0
1548920127,41.0
1548920128,41.0
1548920129,41.0
1548920130,41.0
1548920131,41.0
1548920132,41.0
1548920133,41.0
1548920134,41.0
1548920135,41.0
1548920136,41.0
1548920137,41.0
1548920138,41.0
1548920139,41.0
1548920140,41.0
1548920141,41.0
1548920142,41.0
1548920143,41.0
1548920144,41.0
1548920145,41.0
1548920146,41.0
1548920147,41.0
1548920148,41.0
1548920149,41.0
1548920150,41.0
1548920151,41.0
1548920152,41.0
1548920153,41.0
1548920154,41.0
1548920155,41.0
1548920156,41.0
1548920157,41.0
1548920158,41.0
1548920159,41.0
1548920160,41.0
1548920161,41.0
1548920162,41.0
1548920163,41.0
1548920164,41.0
1548920165,41.0
1548920166,41.0
1548920167,41.0
1548920168,41.0
1548920169,41.0
1548920170,37.0
1548920171,37.0
1548920172,37.0
1548920173,37.0
1548920174,37.0
1548920175,37.0
1548920176,37.0
1548920177,37.0
1548920178,37.0
1548920179,37.0
1548920180,37.0
1548920181,37.0
1548920182,37.0
1548920183,37.0
1548920184,37.0
1548920185,37.0
1548920186,37.0
1548920187,37.0
1548920188,37.0
1548920189,37.0
1548920190,37.0
1548920191,37.0
1548920192,37.0
1548920193,37.0
1548920194,37.0
1548920195,37.0
1548920196,37.0
1548920197,37.0
1548920198,37.0
1548920199,37.0
1548920200,37.0
1548920201,37.0
1548920202,37.0
1548920203,37.0
1548920204,37.0
1548920205,37.0
1548920206,37.0
1548920207,37.0
1548920208,37.0
1548920209,37.0
1548920210,37.0
1548920211,37.0
1548920212,37.0
1548920213,37.0
1548920214,37.0
1548920215,37.0
1548920216,37.0
1548920217,37.0
1548920218,37.0
1548920219,37.0
1548920220,37.0
1548920221,37.0
1548920222,37.0
1548920223,37.0
1548920224,37.0
1548920225,37.0
1548920226,37.0
1548920227,37.0
1548920228,37.0
1548920229,37.0
1548920230,37.0
1548920231,37.0
1548920232,37.0
1548920233,37.0
1548920234,37.0
1548920235,37.0
1548920236,37.0
1548920238,37.0
1548920240,38.0
1548920241,38.0
1548920242,38.0
1548920242,38.0
1548920243,38.0
1548920243,38.0
1548920244,38.0
1548920245,38.0
1548920246,38.0
1548920247,38.0
1548920248,38.0
1548920249,38.0
1548920250,38.0
1548920251,38.0
1548920252,38.0
1548920253,38.0
1548920254,38.0
1548920255,38.0
1548920256,38.0
1548920257,38.0
1548920258,38.0
1548920259,38.0
1548920260,38.0
1548920261,38.0
1548920262,38.0
1548920263,38.0
