t,value
1548920092,19.0
1548920093,37.0
1548920094,41.0
1548920095,41.0
1548920096,41.0
1548920097,41.0
1548920098,41.0
1548920099,41.0
1548920100,41.0
1548920101,41.0
1548920102,41.0
1548920103,41.0
1548920104,41.0
1548920105,41.0
1548920106,41.0
1548920107,41.0
1548920108,41.0
1548920109,41.0
1548920110,41.0
1548920111,41.0
1548920112,41.0
1548920113,41.0
1548920114,41.0
1548920115,41.0
1548920116,41.0
1548920117,41.0
1548920118,41.0
1548920119,41.0
1548920120,41.0
1548920121,41.0
1548920122,41.0
1548920123,41.0
1548920124,41.0
1548920125,41.0
1548920126,41.0
1548920127,41.0
1548920128,41.0
1548920129,41.0
1548920130,41.0
1548920131,41.0
1548920132,41.0
1548920133,41.0
1548920134,41.0
1548920135,41.0
1548920136,41.0
1548920137,41.0
1548920138,41.0
1548920139,41.0
1548920140,41.0
1548920141,41.0
1548920142,41.0
1548920143,41.0
1548920144,41.0
1548920145,41.0
1548920146,41.0
1548920147,41.0
1548920148,41.0
1548920149,41.0
1548920150,41.0
1548920151,41.0
1548920152,41.0
1548920153,41.0
1548920154,41.0
1548920155,41.0
1548920156,41.0
1548920157,41.0
1548920158,41.0
1548920159,41.0
1548920160,41.0
1548920161,41.0
1548920162,41.0
1548920163,41.0
1548920164,41.0
1548920165,41.0
1548920166,41.0
1548920167,41.0
1548920168,41.0
1548920169,41.0
1548920170,41.0
1548920171,41.0
1548920172,41.0
1548920173,41.0
1548920174,41.0
1548920175,41.0
1548920176,41.0
1548920177,41.0
1548920178,41.0
1548920179,41.0
1548920180,41.0
1548920181,41.0
1548920182,41.0
1548920183,41.0
1548920184,41.0
1548920185,41.0
1548920186,41.0
1548920187,41.0
1548920188,41.0
1548920189,41.0
1548920190,41.0
1548920191,41.0
1548920192,41.0
1548920193,41.0
1548920194,41.0
1548920195,41.0
1548920196,41.0
1548920197,41.0
1548920198,41.0
1548920199,41.0
1548920200,41.0
1548920201,41.0
1548920202,41.0
1548920203,41.0
1548920204,41.0
1548920205,41.0
1548920206,41.0
1548920207,41.0
1548920208,41.0
1548920209,41.0
1548920210,41.0
1548920211,41.0
1548920212,41.0
1548920213,41.0
1548920214,41.0
1548920215,41.0
1548920216,41.0
1548920217,41.0
1548920218,41.0
1548920219,41.0
1548920220,41.0
1548920221,41.0
1548920222,41.0
1548920223,41.0
1548920224,41.0
1548920225,41.0
1548920226,41.0
1548920227,41.0
1548920228,41.0
1548920229,41.0
1548920230,41.0
1548920231,41.0
1548920232,41.0
1548920233,41.0
1548920234,41.0
1548920235,41.0
1548920236,41.0
1548920238,41.0
1548920240,41.0
1548920241,41.0
1548920242,41.0
1548920242,41.0
1548920243,41.0
1548920243,41.0
1548920244,41.0
1548920245,41.0
1548920246,41.0
1548920247,41.0
1548920248,41.0
1548920249,41.0
1548920250,41.0
1548920251,41.0
1548920252,41.0
1548920253,41.0
1548920254,41.0
1548920255,41.0
1548920256,41.0
1548920257,41.0
1548920258,41.0
1548920259,41.0
1548920260,41.0
1548920261,41.0
1548920262,41.0
1548920263,41.0
