t,value
1548920092,10.0
1548920093,14.0
1548920094,16.0
1548920095,16.0
1548920096,16.0
1548920097,16.0
1548920098,16.0
1548920099,16.0
1548920100,16.0
1548920101,16.0
1548920102,16.0
1548920103,16.0
1548920104,16.0
1548920105,16.0
1548920106,16.0
1548920107,16.0
1548920108,16.0
1548920109,16.0
1548920110,12.0
1548920111,12.0
1548920112,12.0
1548920113,12.0
1548920114,12.0
1548920115,12.0
1548920116,12.0
1548920117,12.0
1548920118,12.0
1548920119,12.0
1548920120,12.0
1548920121,12.0
1548920122,12.0
1548920123,12.0
1548920124,12.0
1548920125,12.0
1548920126,12.0
1548920127,12.0
1548920128,12.0
1548920129,12.0
1548920130,12.0
1548920131,12.0
1548920132,12.0
1548920133,12.0
1548920134,12.0
1548920135,12.0
1548920136,12.0
1548920137,12.0
1548920138,12.0
1548920139,12.0
1548920140,12.0
1548920141,12.0
1548920142,12.0
1548920143,12.0
1548920144,12.0
1548920145,12.0
1548920146,12.0
1548920147,12.0
1548920148,12.0
1548920149,12.0
1548920150,12.0
1548920151,12.0
1548920152,12.0
1548920153,12.0
1548920154,12.0
1548920155,12.0
1548920156,12.0
1548920157,12.0
1548920158,12.0
1548920159,12.0
1548920160,12.0
1548920161,12.0
1548920162,12.0
1548920163,12.0
1548920164,12.0
1548920165,12.0
1548920166,12.0
1548920167,12.0
1548920168,12.0
1548920169,12.0
1548920170,12.0
1548920171,12.0
1548920172,12.0
1548920173,12.0
1548920174,12.0
1548920175,12.0
1548920176,12.0
1548920177,12.0
1548920178,12.0
1548920179,12.0
1548920180,12.0
1548920181,12.0
1548920182,12.0
1548920183,12.0
1548920184,12.0
1548920185,12.0
1548920186,12.0
1548920187,12.0
1548920188,12.0
1548920189,12.0
1548920190,12.0
1548920191,12.0
1548920192,12.0
1548920193,12.0
1548920194,12.0
1548920195,12.0
1548920196,12.0
1548920197,12.0
1548920198,12.0
1548920199,12.0
1548920200,12.0
1548920201,12.0
1548920202,12.0
1548920203,12.0
1548920204,12.0
1548920205,12.0
1548920206,12.0
1548920207,12.0
1548920208,12.0
1548920209,12.0
1548920210,12.0
1548920211,12.0
1548920212,12.0
1548920213,12.0
1548920214,12.0
1548920215,12.0
1548920216,12.0
1548920217,12.0
1548920218,12.0
1548920219,12.0
1548920220,12.0
1548920221,12.0
1548920222,12.0
1548920223,12.0
1548920224,12.0
1548920225,12.0
1548920226,12.0
1548920227,12.0
1548920228,12.0
1548920229,12.0
1548920230,12.0
1548920231,12.0
1548920232,12.0
1548920233,12.0
1548920234,12.0
1548920235,12.0
1548920236,12.0
1548920238,12.0
1548920240,13.0
1548920241,13.0
1548920242,13.0
1548920242,13.0
1548920243,13.0
1548920243,13.0
1548920244,13.0
1548920245,13.0
1548920246,13.0
1548920247,13.0
1548920248,13.0
1548920249,13.0
1548920250,13.0
1548920251,13.0
1548920252,13.0
1548920253,13.0
1548920254,13.0
1548920255,12.0
1548920256,12.0
1548920257,12.0
1548920258,12.0
1548920259,12.0
1548920260,12.0
1548920261,12.0
1548920262,12.0
1548920263,12.0
