t,value
1548920092,4.0
1548920093,8.0
1548920094,8.0
1548920095,8.0
1548920096,8.0
1548920097,8.0
1548920098,8.0
1548920099,8.0
1548920100,8.0
1548920101,8.0
1548920102,8.0
1548920103,8.0
1548920104,8.0
1548920105,8.0
1548920106,8.0
1548920107,8.0
1548920108,8.0
1548920109,8.0
1548920110,12.0
1548920111,12.0
1548920112,12.0
1548920113,12.0
1548920114,12.0
1548920115,12.0
1548920116,12.0
1548920117,12.0
1548920118,12.0
1548920119,12.0
1548920120,12.0
1548920121,12.0
1548920122,12.0
1548920123,12.0
1548920124,12.0
1548920125,12.0
1548920126,12.0
1548920127,12.0
1548920128,12.0
1548920129,12.0
1548920130,12.0
1548920131,12.0
1548920132,12.0
1548920133,12.0
1548920134,12.0
1548920135,12.0
1548920136,12.0
1548920137,12.0
1548920138,12.0
1548920139,12.0
1548920140,12.0
1548920141,12.0
1548920142,12.0
1548920143,12.0
1548920144,12.0
1548920145,12.0
1548920146,12.0
1548920147,12.0
1548920148,12.0
1548920149,12.0
1548920150,12.0
1548920151,12.0
1548920152,12.0
1548920153,12.0
1548920154,12.0
1548920155,12.0
1548920156,12.0
1548920157,12.0
1548920158,12.0
1548920159,12.0
1548920160,12.0
1548920161,12.0
1548920162,12.0
1548920163,12.0
1548920164,12.0
1548920165,12.0
1548920166,12.0
1548920167,12.0
1548920168,12.0
1548920169,12.0
1548920170,8.0
1548920171,8.0
1548920172,8.0
1548920173,8.0
1548920174,8.0
1548920175,8.0
1548920176,8.0
1548920177,8.0
1548920178,8.0
1548920179,8.0
1548920180,8.0
1548920181,8.0
1548920182,8.0
1548920183,8.0
1548920184,8.0
1548920185,8.0
1548920186,8.0
1548920187,8.0
1548920188,8.0
1548920189,8.0
1548920190,8.0
1548920191,8.0
1548920192,8.0
1548920193,8.0
1548920194,8.0
1548920195,8.0
1548920196,8.0
1548920197,8.0
1548920198,8.0
1548920199,8.0
1548920200,8.0
1548920201,8.0
1548920202,8.0
1548920203,8.0
1548920204,8.0
1548920205,8.0
1548920206,8.0
1548920207,8.0
1548920208,8.0
1548920209,8.0
1548920210,8.0
1548920211,8.0
1548920212,8.0
1548920213,8.0
1548920214,8.0
1548920215,8.0
1548920216,8.0
1548920217,8.0
1548920218,8.0
1548920219,8.0
1548920220,8.0
1548920221,8.0
1548920222,8.0
1548920223,8.0
1548920224,8.0
1548920225,8.0
1548920226,8.0
1548920227,8.0
1548920228,8.0
1548920229,8.0
1548920230,8.0
1548920231,8.0
1548920232,8.0
1548920233,8.0
1548920234,8.0
1548920235,8.0
1548920236,8.0
1548920238,8.0
1548920240,8.0
1548920241,8.0
1548920242,8.0
1548920242,8.0
1548920243,8.0
1548920243,8.0
1548920244,8.0
1548920245,8.0
1548920246,8.0
1548920247,8.0
1548920248,8.0
1548920249,8.0
1548920250,8.0
1548920251,8.0
1548920252,8.0
1548920253,8.0
1548920254,8.0
1548920255,9.0
1548920256,9.0
1548920257,9.0
1548920258,9.0
1548920259,9.0
1548920260,9.0
1548920261,9.0
1548920262,9.0
1548920263,9.0
