t,value
1548920092,4.0
1548920093,15.0
1548920094,15.0
1548920095,15.0
1548920096,15.0
1548920097,15.0
1548920098,16.0
1548920099,16.0
1548920100,16.0
1548920101,16.0
1548920102,16.0
1548920103,16.0
1548920104,16.0
1548920105,16.0
1548920106,16.0
1548920107,16.0
1548920108,16.0
1548920109,16.0
1548920110,16.0
1548920111,16.0
1548920112,16.0
1548920113,16.0
1548920114,16.0
1548920115,16.0
1548920116,16.0
1548920117,16.0
1548920118,16.0
1548920119,16.0
1548920120,16.0
1548920121,16.0
1548920122,16.0
1548920123,16.0
1548920124,17.0
1548920125,17.0
1548920126,17.0
1548920127,17.0
1548920128,17.0
1548920129,17.0
1548920130,17.0
1548920131,17.0
1548920132,17.0
1548920133,17.0
1548920134,17.0
1548920135,17.0
1548920136,17.0
1548920137,17.0
1548920138,17.0
1548920139,17.0
1548920140,17.0
1548920141,17.0
1548920142,17.0
1548920143,17.0
1548920144,17.0
1548920145,17.0
1548920146,17.0
1548920147,17.0
1548920148,17.0
1548920149,17.0
1548920150,17.0
1548920151,17.0
1548920152,17.0
1548920153,17.0
1548920154,17.0
1548920155,17.0
1548920156,17.0
1548920157,17.0
1548920158,17.0
1548920159,17.0
1548920160,17.0
1548920161,17.0
1548920162,17.0
1548920163,17.0
1548920164,17.0
1548920165,17.0
1548920166,17.0
1548920167,17.0
1548920168,17.0
1548920169,17.0
1548920170,17.0
1548920171,17.0
1548920172,17.0
1548920173,17.0
1548920174,17.0
1548920175,17.0
1548920176,17.0
1548920177,17.0
1548920178,17.0
1548920179,17.0
1548920180,17.0
1548920181,17.0
1548920182,17.0
1548920183,17.0
1548920184,17.0
1548920185,17.0
1548920186,17.0
1548920187,17.0
1548920188,17.0
1548920189,17.0
1548920190,17.0
1548920191,17.0
1548920192,17.0
1548920193,17.0
1548920194,17.0
1548920195,17.0
1548920196,17.0
1548920197,17.0
1548920198,17.0
1548920199,17.0
1548920200,17.0
1548920201,17.0
1548920202,17.0
1548920203,17.0
1548920204,17.0
1548920205,17.0
1548920206,17.0
1548920207,17.0
1548920208,17.0
1548920209,17.0
1548920210,17.0
1548920211,17.0
1548920212,17.0
1548920213,17.0
1548920214,17.0
1548920215,17.0
1548920216,17.0
1548920217,17.0
1548920218,17.0
1548920219,17.0
1548920220,17.0
1548920221,17.0
1548920222,17.0
1548920223,17.0
1548920224,17.0
1548920225,17.0
1548920226,17.0
1548920227,17.0
1548920228,17.0
1548920229,17.0
1548920230,17.0
1548920231,17.0
1548920232,17.0
1548920233,17.0
1548920234,17.0
1548920235,17.0
1548920236,17.0
1548920238,17.0
1548920240,17.0
1548920241,17.0
1548920242,17.0
1548920242,17.0
1548920243,17.0
1548920243,17.0
1548920244,17.0
1548920245,17.0
1548920246,17.0
1548920247,17.0
1548920248,17.0
1548920249,17.0
1548920250,17.0
1548920251,17.0
1548920252,17.0
1548920253,17.0
1548920254,17.0
1548920255,17.0
1548920256,17.0
1548920257,17.0
1548920258,17.0
1548920259,17.0
1548920260,17.0
1548920261,17.0
1548920262,17.0
1548920263,17.0
