t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920092,19,5.385466,0.000000,0.000000,0.000000,events/second
1548920093,30,7.759073,0.000000,0.000000,0.000000,events/second
1548920094,33,7.715319,0.000000,0.000000,0.000000,events/second
1548920095,33,6.351016,6.600000,6.600000,6.600000,events/second
1548920096,33,5.384322,6.600000,6.600000,6.600000,events/second
1548920097,33,4.638710,6.600000,6.600000,6.600000,events/second
1548920098,33,4.056218,6.600000,6.600000,6.600000,events/second
1548920099,33,3.628193,6.600000,6.600000,6.600000,events/second
1548920100,33,3.252623,6.072293,6.490912,6.563435,events/second
1548920101,33,2.964634,6.072293,6.490912,6.563435,events/second
1548920102,33,2.723533,6.072293,6.490912,6.563435,events/second
1548920103,33,2.514154,6.072293,6.490912,6.563435,events/second
1548920104,33,2.339652,6.072293,6.490912,6.563435,events/second
1548920105,33,2.183956,5.586779,6.383626,6.527073,events/second
1548920106,33,2.046183,5.586779,6.383626,6.527073,events/second
1548920107,33,1.927827,5.586779,6.383626,6.527073,events/second
1548920108,33,1.814237,5.586779,6.383626,6.527073,events/second
1548920109,33,1.727035,5.586779,6.383626,6.527073,events/second
1548920110,33,1.638550,5.140085,6.278114,6.490912,events/second
1548920111,33,1.563754,5.140085,6.278114,6.490912,events/second
1548920112,33,1.490812,5.140085,6.278114,6.490912,events/second
1548920113,33,1.428721,5.140085,6.278114,6.490912,events/second
1548920114,33,1.369123,5.140085,6.278114,6.490912,events/second
1548920115,33,1.314851,4.729107,6.174346,6.454951,events/second
1548920116,33,1.264582,4.729107,6.174346,6.454951,events/second
1548920117,33,1.217835,4.729107,6.174346,6.454951,events/second
1548920118,33,1.174778,4.729107,6.174346,6.454951,events/second
1548920119,33,1.133458,4.729107,6.174346,6.454951,events/second
1548920120,33,1.096604,4.350988,6.072293,6.419190,events/second
1548920121,33,1.061016,4.350988,6.072293,6.419190,events/second
1548920122,33,1.028045,4.350988,6.072293,6.419190,events/second
1548920123,33,0.997178,4.350988,6.072293,6.419190,events/second
1548920124,33,0.967736,4.350988,6.072293,6.419190,events/second
1548920125,33,0.939958,4.003102,5.971927,6.383626,events/second
1548920126,33,0.914274,4.003102,5.971927,6.383626,events/second
1548920127,33,0.889458,4.003102,5.971927,6.383626,events/second
1548920128,33,0.866203,4.003102,5.971927,6.383626,events/second
1548920129,33,0.844074,4.003102,5.971927,6.383626,events/second
1548920130,33,0.822541,3.683032,5.873220,6.348260,events/second
1548920131,33,0.803043,3.683032,5.873220,6.348260,events/second
1548920132,33,0.783755,3.683032,5.873220,6.348260,events/second
1548920133,33,0.765228,3.683032,5.873220,6.348260,events/second
1548920134,33,0.748359,3.683032,5.873220,6.348260,events/second
1548920135,33,0.731803,3.388553,5.776144,6.313090,events/second
1548920136,33,0.715902,3.388553,5.776144,6.313090,events/second
1548920137,33,0.700655,3.388553,5.776144,6.313090,events/second
1548920138,33,0.686118,3.388553,5.776144,6.313090,events/second
1548920139,33,0.672151,3.388553,5.776144,6.313090,events/second
1548920140,33,0.658726,3.117619,5.680673,6.278114,events/second
1548920141,33,0.645751,3.117619,5.680673,6.278114,events/second
1548920142,33,0.633283,3.117619,5.680673,6.278114,events/second
1548920143,33,0.621476,3.117619,5.680673,6.278114,events/second
1548920144,33,0.610019,3.117619,5.680673,6.278114,events/second
1548920145,33,0.598980,2.868348,5.586779,6.243332,events/second
1548920146,33,0.588256,2.868348,5.586779,6.243332,events/second
1548920147,33,0.577970,2.868348,5.586779,6.243332,events/second
1548920148,33,0.567987,2.868348,5.586779,6.243332,events/second
1548920149,33,0.558415,2.868348,5.586779,6.243332,events/second
1548920150,33,0.549099,2.639008,5.494438,6.208743,events/second
1548920151,33,0.540102,2.639008,5.494438,6.208743,events/second
1548920152,33,0.531345,2.639008,5.494438,6.208743,events/second
1548920153,33,0.522875,2.639008,5.494438,6.208743,events/second
1548920154,33,0.514834,2.639008,5.494438,6.208743,events/second
1548920155,33,0.506896,2.428004,5.403623,6.174346,events/second
1548920156,33,0.499205,2.428004,5.403623,6.174346,events/second
1548920157,33,0.491790,2.428004,5.403623,6.174346,events/second
1548920158,33,0.484531,2.428004,5.403623,6.174346,events/second
1548920159,33,0.477575,2.428004,5.403623,6.174346,events/second
1548920160,33,0.470700,2.233872,5.314309,6.140139,events/second
1548920161,33,0.464142,2.233872,5.314309,6.140139,events/second
1548920162,33,0.457632,2.233872,5.314309,6.140139,events/second
1548920163,33,0.451404,2.233872,5.314309,6.140139,events/second
1548920164,33,0.445299,2.233872,5.314309,6.140139,events/second
1548920165,33,0.439429,2.055261,5.226471,6.106122,events/second
1548920166,33,0.433605,2.055261,5.226471,6.106122,events/second
1548920167,33,0.427886,2.055261,5.226471,6.106122,events/second
1548920168,33,0.422524,2.055261,5.226471,6.106122,events/second
1548920169,33,0.416936,2.055261,5.226471,6.106122,events/second
1548920170,33,0.411821,1.890932,5.140085,6.072293,events/second
1548920171,33,0.406847,1.890932,5.140085,6.072293,events/second
1548920172,33,0.401263,1.890932,5.140085,6.072293,events/second
1548920173,33,0.396976,1.890932,5.140085,6.072293,events/second
1548920174,33,0.392304,1.890932,5.140085,6.072293,events/second
1548920175,33,0.387774,1.739741,5.055127,6.038652,events/second
1548920176,33,0.383248,1.739741,5.055127,6.038652,events/second
1548920177,33,0.378853,1.739741,5.055127,6.038652,events/second
1548920178,33,0.374574,1.739741,5.055127,6.038652,events/second
1548920179,33,0.370355,1.739741,5.055127,6.038652,events/second
1548920180,33,0.366236,1.600639,4.971573,6.005197,events/second
1548920181,33,0.362179,1.600639,4.971573,6.005197,events/second
1548920182,33,0.358163,1.600639,4.971573,6.005197,events/second
1548920183,33,0.354449,1.600639,4.971573,6.005197,events/second
1548920184,33,0.350677,1.600639,4.971573,6.005197,events/second
1548920185,33,0.346994,1.472659,4.889400,5.971927,events/second
1548920186,33,0.343379,1.472659,4.889400,5.971927,events/second
1548920187,33,0.339839,1.472659,4.889400,5.971927,events/second
1548920188,33,0.336370,1.472659,4.889400,5.971927,events/second
1548920189,33,0.332948,1.472659,4.889400,5.971927,events/second
1548920190,33,0.329606,1.354912,4.808586,5.938842,events/second
1548920191,33,0.326358,1.354912,4.808586,5.938842,events/second
1548920192,33,0.323145,1.354912,4.808586,5.938842,events/second
1548920193,33,0.320040,1.354912,4.808586,5.938842,events/second
1548920194,33,0.316976,1.354912,4.808586,5.938842,events/second
1548920195,33,0.313971,1.246579,4.729107,5.905939,events/second
1548920196,33,0.311018,1.246579,4.729107,5.905939,events/second
1548920197,33,0.308100,1.246579,4.729107,5.905939,events/second
1548920198,33,0.305268,1.246579,4.729107,5.905939,events/second
