t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920092,2,0.565229,0.000000,0.000000,0.000000,events/second
1548920093,3,0.774433,0.000000,0.000000,0.000000,events/second
1548920094,3,0.700258,0.000000,0.000000,0.000000,events/second
1548920095,3,0.576729,0.600000,0.600000,0.600000,events/second
1548920096,3,0.488340,0.600000,0.600000,0.600000,events/second
1548920097,3,0.421370,0.600000,0.600000,0.600000,events/second
1548920098,3,0.368491,0.600000,0.600000,0.600000,events/second
1548920099,3,0.329639,0.600000,0.600000,0.600000,events/second
1548920100,3,0.295545,0.552027,0.590083,0.596676,events/second
1548920101,3,0.269380,0.552027,0.590083,0.596676,events/second
1548920102,3,0.247084,0.552027,0.590083,0.596676,events/second
1548920103,3,0.228465,0.552027,0.590083,0.596676,events/second
1548920104,3,0.212611,0.552027,0.590083,0.596676,events/second
1548920105,3,0.198469,0.507889,0.580330,0.593370,events/second
1548920106,3,0.185924,0.507889,0.580330,0.593370,events/second
1548920107,3,0.175199,0.507889,0.580330,0.593370,events/second
1548920108,3,0.164878,0.507889,0.580330,0.593370,events/second
1548920109,3,0.156959,0.507889,0.580330,0.593370,events/second
1548920110,3,0.148920,0.467280,0.570738,0.590083,events/second
1548920111,3,0.142122,0.467280,0.570738,0.590083,events/second
1548920112,3,0.135497,0.467280,0.570738,0.590083,events/second
1548920113,3,0.129852,0.467280,0.570738,0.590083,events/second
1548920114,3,0.124434,0.467280,0.570738,0.590083,events/second
1548920115,3,0.119496,0.429919,0.561304,0.586814,events/second
1548920116,3,0.114937,0.429919,0.561304,0.586814,events/second
1548920117,3,0.110688,0.429919,0.561304,0.586814,events/second
1548920118,3,0.106777,0.429919,0.561304,0.586814,events/second
1548920119,3,0.103023,0.429919,0.561304,0.586814,events/second
1548920120,3,0.099673,0.395544,0.552027,0.583563,events/second
1548920121,3,0.096439,0.395544,0.552027,0.583563,events/second
1548920122,3,0.093442,0.395544,0.552027,0.583563,events/second
1548920123,3,0.090638,0.395544,0.552027,0.583563,events/second
1548920124,3,0.087961,0.395544,0.552027,0.583563,events/second
1548920125,3,0.085438,0.363918,0.542902,0.580330,events/second
1548920126,3,0.083104,0.363918,0.542902,0.580330,events/second
1548920127,3,0.080847,0.363918,0.542902,0.580330,events/second
1548920128,3,0.078735,0.363918,0.542902,0.580330,events/second
1548920129,3,0.076723,0.363918,0.542902,0.580330,events/second
1548920130,3,0.074766,0.334821,0.533929,0.577115,events/second
