t,value
1548920092,15796.0
1548920093,16141.0
1548920094,16517.0
1548920095,17459.0
1548920096,18396.0
1548920097,19382.0
1548920098,20401.0
1548920099,21362.0
1548920100,22394.0
1548920101,23370.0
1548920102,24379.0
1548920103,25391.0
1548920104,26373.0
1548920105,27378.0
1548920106,28381.0
1548920107,29384.0
1548920108,30432.0
1548920109,31371.0
1548920110,32397.0
1548920111,33371.0
1548920112,34400.0
1548920113,35366.0
1548920114,36368.0
1548920115,37366.0
1548920116,38361.0
1548920117,39366.0
1548920118,40359.0
1548920119,41381.0
1548920120,42362.0
1548920121,43371.0
1548920122,44367.0
1548920123,45359.0
1548920124,46363.0
1548920125,47373.0
1548920126,48360.0
1548920127,49364.0
1548920128,50363.0
1548920129,51361.0
1548920130,52377.0
1548920131,53358.0
1548920132,54369.0
1548920133,55385.0
1548920134,56361.0
1548920135,57359.0
1548920136,58360.0
1548920137,59361.0
1548920138,60361.0
1548920139,61361.0
1548920140,62361.0
1548920141,63366.0
1548920142,64374.0
1548920143,65364.0
1548920144,66361.0
1548920145,67358.0
1548920146,68363.0
1548920147,69361.0
1548920148,70364.0
1548920149,71360.0
1548920150,72363.0
1548920151,73364.0
1548920152,74371.0
1548920153,75378.0
1548920154,76361.0
1548920155,77366.0
1548920156,78366.0
1548920157,79364.0
1548920158,80370.0
1548920159,81362.0
1548920160,82371.0
1548920161,83363.0
1548920162,84373.0
1548920163,85368.0
1548920164,86370.0
1548920165,87361.0
1548920166,88370.0
1548920167,89366.0
1548920168,90366.0
1548920169,91389.0
1548920170,92391.0
1548920171,93370.0
1548920172,94494.0
1548920173,95387.0
1548920174,96383.0
1548920175,97364.0
1548920176,98369.0
1548920177,99368.0
1548920178,100363.0
1548920179,101366.0
1548920180,102367.0
1548920181,103379.0
1548920182,104383.0
1548920183,105365.0
1548920184,106366.0
1548920185,107362.0
1548920186,108366.0
1548920187,109367.0
1548920188,110367.0
1548920189,111373.0
1548920190,112379.0
1548920191,113375.0
1548920192,114383.0
1548920193,115364.0
1548920194,116368.0
1548920195,117368.0
1548920196,118364.0
1548920197,119367.0
1548920198,120363.0
1548920199,121368.0
1548920200,122366.0
1548920201,123373.0
1548920202,124369.0
1548920203,125362.0
1548920204,126374.0
1548920205,127372.0
1548920206,128369.0
1548920207,129367.0
1548920208,130365.0
1548920209,131397.0
1548920210,132372.0
1548920211,133364.0
1548920212,134369.0
1548920213,135385.0
1548920214,136378.0
1548920215,137401.0
1548920216,138397.0
1548920217,139402.0
1548920218,140399.0
1548920219,141400.0
1548920220,142409.0
1548920221,143409.0
1548920222,144404.0
1548920223,145407.0
1548920224,146402.0
1548920225,147415.0
1548920226,148441.0
1548920227,149428.0
1548920228,150420.0
1548920229,151436.0
1548920230,152432.0
1548920231,153428.0
1548920232,154456.0
1548920233,155430.0
1548920234,156623.0
1548920235,157628.0
1548920236,159025.0
1548920238,162062.0
1548920240,162952.0
1548920241,163751.0
1548920242,164364.0
1548920242,164938.0
1548920243,165529.0
1548920243,166166.0
1548920244,166639.0
1548920245,167392.0
1548920246,168460.0
1548920247,169408.0
1548920248,170426.0
1548920249,171427.0
1548920250,172373.0
1548920251,173377.0
1548920252,174376.0
1548920253,175379.0
1548920254,176385.0
1548920255,177380.0
1548920256,178392.0
1548920257,179381.0
1548920258,180380.0
1548920259,181371.0
1548920260,182376.0
1548920261,183404.0
1548920262,184385.0
1548920263,185381.0
