t,value
1548920092,8.0
1548920093,8.0
1548920094,8.0
1548920095,8.0
1548920096,8.0
1548920097,8.0
1548920098,8.0
1548920099,8.0
1548920100,8.0
1548920101,8.0
1548920102,8.0
1548920103,8.0
1548920104,8.0
1548920105,8.0
1548920106,8.0
1548920107,8.0
1548920108,8.0
1548920109,8.0
1548920110,8.0
1548920111,8.0
1548920112,8.0
1548920113,8.0
1548920114,8.0
1548920115,8.0
1548920116,8.0
1548920117,8.0
1548920118,8.0
1548920119,8.0
1548920120,8.0
1548920121,8.0
1548920122,8.0
1548920123,8.0
1548920124,8.0
1548920125,8.0
1548920126,8.0
1548920127,8.0
1548920128,8.0
1548920129,8.0
1548920130,8.0
1548920131,8.0
1548920132,8.0
1548920133,8.0
1548920134,8.0
1548920135,8.0
1548920136,8.0
1548920137,8.0
1548920138,8.0
1548920139,8.0
1548920140,8.0
1548920141,8.0
1548920142,8.0
1548920143,8.0
1548920144,8.0
1548920145,8.0
1548920146,8.0
1548920147,8.0
1548920148,8.0
1548920149,8.0
1548920150,8.0
1548920151,8.0
1548920152,8.0
1548920153,8.0
1548920154,8.0
1548920155,8.0
1548920156,8.0
1548920157,8.0
1548920158,8.0
1548920159,8.0
1548920160,8.0
1548920161,8.0
1548920162,8.0
1548920163,8.0
1548920164,8.0
1548920165,8.0
1548920166,8.0
1548920167,8.0
1548920168,8.0
1548920169,8.0
1548920170,8.0
1548920171,8.0
1548920172,8.0
1548920173,8.0
1548920174,8.0
1548920175,8.0
1548920176,8.0
1548920177,8.0
1548920178,8.0
1548920179,8.0
1548920180,8.0
1548920181,8.0
1548920182,8.0
1548920183,8.0
1548920184,8.0
1548920185,8.0
1548920186,8.0
1548920187,8.0
1548920188,8.0
1548920189,8.0
1548920190,8.0
1548920191,8.0
1548920192,8.0
1548920193,8.0
1548920194,8.0
1548920195,8.0
1548920196,8.0
1548920197,8.0
1548920198,8.0
1548920199,8.0
1548920200,8.0
1548920201,8.0
1548920202,8.0
1548920203,8.0
1548920204,8.0
1548920205,8.0
1548920206,8.0
1548920207,8.0
1548920208,8.0
1548920209,8.0
1548920210,8.0
1548920211,8.0
1548920212,8.0
1548920213,8.0
1548920214,8.0
1548920215,8.0
1548920216,8.0
1548920217,8.0
1548920218,8.0
1548920219,8.0
1548920220,8.0
1548920221,8.0
1548920222,8.0
1548920223,8.0
1548920224,8.0
1548920225,8.0
1548920226,8.0
1548920227,8.0
1548920228,8.0
1548920229,8.0
1548920230,8.0
1548920231,8.0
1548920232,8.0
1548920233,8.0
1548920234,8.0
1548920235,8.0
1548920236,8.0
1548920238,8.0
1548920240,8.0
1548920241,8.0
1548920242,8.0
1548920242,8.0
1548920243,8.0
1548920243,8.0
1548920244,8.0
1548920245,8.0
1548920246,8.0
1548920247,8.0
1548920248,8.0
1548920249,8.0
1548920250,8.0
1548920251,8.0
1548920252,8.0
1548920253,8.0
1548920254,8.0
1548920255,8.0
1548920256,8.0
1548920257,8.0
1548920258,8.0
1548920259,8.0
1548920260,8.0
1548920261,8.0
1548920262,8.0
1548920263,8.0
