t,value
1548920094,0.0
1548920095,0.0
1548920096,0.0
1548920097,0.0
1548920098,0.0
1548920099,0.0
1548920100,0.0
1548920101,0.0
1548920102,0.0
1548920103,0.0
1548920104,0.0
1548920105,0.0
1548920106,0.0
1548920107,0.0
1548920108,0.0
1548920109,0.0
1548920110,0.0
1548920111,0.0
1548920112,0.0
1548920113,0.0
1548920114,0.0
1548920115,0.0
1548920116,0.0
1548920117,0.0
1548920118,0.0
1548920119,0.0
1548920120,0.0
1548920121,0.0
1548920122,0.0
1548920123,103.0
1548920124,103.0
1548920125,103.0
1548920126,103.0
1548920127,103.0
1548920128,103.0
1548920129,103.0
1548920130,103.0
1548920131,103.0
1548920132,103.0
1548920133,103.0
1548920134,103.0
1548920135,103.0
1548920136,103.0
1548920137,103.0
1548920138,103.0
1548920139,103.0
1548920140,103.0
1548920141,103.0
1548920142,103.0
1548920143,103.0
1548920144,103.0
1548920145,103.0
1548920146,103.0
1548920147,103.0
1548920148,103.0
1548920149,103.0
1548920150,103.0
1548920151,103.0
1548920152,103.0
1548920153,103.0
1548920154,103.0
1548920155,103.0
1548920156,103.0
1548920157,103.0
1548920158,103.0
1548920159,103.0
1548920160,103.0
1548920161,103.0
1548920162,103.0
1548920163,103.0
1548920164,103.0
1548920165,103.0
1548920166,103.0
1548920167,103.0
1548920168,103.0
1548920169,103.0
1548920170,103.0
1548920171,103.0
1548920172,103.0
1548920173,103.0
1548920174,103.0
1548920175,103.0
1548920176,103.0
1548920177,103.0
1548920178,103.0
1548920179,103.0
1548920180,103.0
1548920181,103.0
1548920182,103.0
1548920183,103.0
1548920184,103.0
1548920185,103.0
1548920186,103.0
1548920187,103.0
1548920188,103.0
1548920189,103.0
1548920190,103.0
1548920191,103.0
1548920192,103.0
1548920193,103.0
1548920194,103.0
1548920195,103.0
1548920196,103.0
1548920197,103.0
1548920198,103.0
1548920199,103.0
1548920200,103.0
1548920201,103.0
1548920202,103.0
1548920203,103.0
1548920204,103.0
1548920205,103.0
1548920206,103.0
1548920207,103.0
1548920208,103.0
1548920209,103.0
1548920210,103.0
1548920211,103.0
1548920212,103.0
1548920213,103.0
1548920214,103.0
1548920215,103.0
1548920216,103.0
1548920217,103.0
1548920218,103.0
1548920219,103.0
1548920220,103.0
1548920221,103.0
1548920222,103.0
1548920223,103.0
1548920224,103.0
1548920225,103.0
1548920226,103.0
1548920227,103.0
1548920228,103.0
1548920229,103.0
1548920230,103.0
1548920231,103.0
1548920232,103.0
1548920233,103.0
1548920234,103.0
1548920235,103.0
1548920236,103.0
1548920238,103.0
1548920240,103.0
1548920241,103.0
1548920242,103.0
1548920242,103.0
1548920243,103.0
1548920243,103.0
1548920244,103.0
1548920245,103.0
1548920246,103.0
1548920247,103.0
1548920248,103.0
1548920249,103.0
1548920250,103.0
1548920251,103.0
1548920252,103.0
1548920253,103.0
1548920254,103.0
1548920255,103.0
1548920256,103.0
1548920257,103.0
1548920258,103.0
1548920259,103.0
1548920260,103.0
1548920261,103.0
1548920262,103.0
1548920263,103.0
