t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920094,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920095,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920096,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920097,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920098,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920099,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920100,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920101,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920102,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920103,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920104,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920105,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920106,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920107,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920108,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920109,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920110,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920111,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920112,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920113,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920114,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920115,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920116,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920117,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920118,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920119,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920120,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920121,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920122,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920123,2944,100.079198,0.000000,0.000000,0.000000,events/second
1548920124,2944,96.767016,47.077849,9.732008,3.262041,events/second
1548920125,2944,93.667884,47.077849,9.732008,3.262041,events/second
1548920126,2944,90.804959,47.077849,9.732008,3.262041,events/second
1548920127,2944,88.078344,47.077849,9.732008,3.262041,events/second
1548920128,2944,85.529608,47.077849,9.732008,3.262041,events/second
1548920129,2944,83.119347,43.313712,9.571152,3.243969,events/second
1548920130,2944,80.782100,43.313712,9.571152,3.243969,events/second
1548920131,2944,78.681715,43.313712,9.571152,3.243969,events/second
1548920132,2944,76.610340,43.313712,9.571152,3.243969,events/second
1548920133,2944,74.630067,43.313712,9.571152,3.243969,events/second
1548920134,2944,72.836172,39.850539,9.412955,3.225997,events/second
1548920135,2944,71.081945,39.850539,9.412955,3.225997,events/second
1548920136,2944,69.395765,39.850539,9.412955,3.225997,events/second
1548920137,2944,67.799832,39.850539,9.412955,3.225997,events/second
1548920138,2944,66.276417,39.850539,9.412955,3.225997,events/second
1548920139,2944,64.818662,36.664265,9.257372,3.208125,events/second
1548920140,3590,77.331318,36.664265,9.257372,3.208125,events/second
1548920141,3590,75.695755,36.664265,9.257372,3.208125,events/second
1548920142,3590,74.123337,36.664265,9.257372,3.208125,events/second
1548920143,3590,72.639519,36.664265,9.257372,3.208125,events/second
1548920144,3590,71.202347,44.063014,11.239850,3.906139,events/second
1548920145,3590,69.821623,44.063014,11.239850,3.906139,events/second
1548920146,3590,68.482919,44.063014,11.239850,3.906139,events/second
1548920147,3590,67.203459,44.063014,11.239850,3.906139,events/second
1548920148,3590,65.965194,44.063014,11.239850,3.906139,events/second
1548920149,3590,64.779170,40.539930,11.054071,3.884498,events/second
1548920150,3590,63.628214,40.539930,11.054071,3.884498,events/second
1548920151,3590,62.518573,40.539930,11.054071,3.884498,events/second
1548920152,3590,61.441960,40.539930,11.054071,3.884498,events/second
1548920153,3590,60.401898,40.539930,11.054071,3.884498,events/second
1548920154,3590,59.416189,37.298536,10.871364,3.862978,events/second
1548920155,3590,58.445096,37.298536,10.871364,3.862978,events/second
1548920156,3590,57.506086,37.298536,10.871364,3.862978,events/second
1548920157,3590,56.601728,37.298536,10.871364,3.862978,events/second
1548920158,3590,55.718780,37.298536,10.871364,3.862978,events/second
1548920159,3590,54.874183,34.316310,10.691676,3.841576,events/second
1548920160,4236,63.764972,34.316310,10.691676,3.841576,events/second
1548920161,4236,62.828260,34.316310,10.691676,3.841576,events/second
1548920162,4236,61.899779,34.316310,10.691676,3.841576,events/second
1548920163,4236,61.011412,34.316310,10.691676,3.841576,events/second
1548920164,4236,60.144707,41.902791,12.650446,4.536081,events/second
