t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920094,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920095,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920096,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920097,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920098,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920099,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920100,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920101,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920102,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920103,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920104,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920105,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920106,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920107,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920108,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920109,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920110,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920111,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920112,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920113,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920114,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920115,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920116,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920117,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920118,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920119,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920120,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920121,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920122,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920123,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920124,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920125,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920126,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920127,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920128,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920129,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920130,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920131,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920132,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920133,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920134,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920135,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920136,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920137,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920138,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920139,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920140,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920141,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920142,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920143,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920144,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920145,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920146,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920147,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920148,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920149,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920150,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920151,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920152,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920153,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920154,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920155,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920156,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920157,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920158,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920159,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920160,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920161,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920162,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920163,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920164,0,0.000000,0.000000,0.000000,0.000000,events/second
1548920165,0,0.000000,0.000000,0.000000,0.000000,events/second
