t,value
1548920094,200.0
1548920095,200.0
1548920096,200.0
1548920097,200.0
1548920098,200.0
1548920099,200.0
1548920100,200.0
1548920101,200.0
1548920102,200.0
1548920103,200.0
1548920104,200.0
1548920105,200.0
1548920106,200.0
1548920107,200.0
1548920108,200.0
1548920109,200.0
1548920110,200.0
1548920111,200.0
1548920112,200.0
1548920113,200.0
1548920114,200.0
1548920115,200.0
1548920116,200.0
1548920117,200.0
1548920118,200.0
1548920119,200.0
1548920120,200.0
1548920121,200.0
1548920122,200.0
1548920123,200.0
1548920124,200.0
1548920125,200.0
1548920126,200.0
1548920127,200.0
1548920128,200.0
1548920129,200.0
1548920130,200.0
1548920131,200.0
1548920132,200.0
1548920133,200.0
1548920134,200.0
1548920135,200.0
1548920136,200.0
1548920137,200.0
1548920138,200.0
1548920139,200.0
1548920140,200.0
1548920141,200.0
1548920142,200.0
1548920143,200.0
1548920144,200.0
1548920145,200.0
1548920146,200.0
1548920147,200.0
1548920148,200.0
1548920149,200.0
1548920150,200.0
1548920151,200.0
1548920152,200.0
1548920153,200.0
1548920154,200.0
1548920155,200.0
1548920156,200.0
1548920157,200.0
1548920158,200.0
1548920159,200.0
1548920160,200.0
1548920161,200.0
1548920162,200.0
1548920163,200.0
1548920164,200.0
1548920165,200.0
1548920166,200.0
1548920167,200.0
1548920168,200.0
1548920169,200.0
1548920170,200.0
1548920171,200.0
1548920172,200.0
1548920173,200.0
1548920174,200.0
1548920175,200.0
1548920176,200.0
1548920177,200.0
1548920178,200.0
1548920179,200.0
1548920180,200.0
1548920181,200.0
1548920182,200.0
1548920183,200.0
1548920184,200.0
1548920185,200.0
1548920186,200.0
1548920187,200.0
1548920188,200.0
1548920189,200.0
1548920190,200.0
1548920191,200.0
1548920192,200.0
1548920193,200.0
1548920194,200.0
1548920195,200.0
1548920196,200.0
1548920197,200.0
1548920198,200.0
1548920199,200.0
1548920200,200.0
1548920201,200.0
1548920202,200.0
1548920203,200.0
1548920204,200.0
1548920205,200.0
1548920206,200.0
1548920207,200.0
1548920208,200.0
1548920209,200.0
1548920210,200.0
1548920211,200.0
1548920212,200.0
1548920213,200.0
1548920214,200.0
1548920215,200.0
1548920216,200.0
1548920217,200.0
1548920218,200.0
1548920219,200.0
1548920220,200.0
1548920221,200.0
1548920222,200.0
1548920223,200.0
1548920224,200.0
1548920225,200.0
1548920226,200.0
1548920227,200.0
1548920228,200.0
1548920229,200.0
1548920230,200.0
1548920231,200.0
1548920232,200.0
1548920233,200.0
1548920234,200.0
1548920235,200.0
1548920236,200.0
1548920238,200.0
1548920240,200.0
1548920241,200.0
1548920242,200.0
1548920242,200.0
1548920243,200.0
1548920243,200.0
1548920244,200.0
1548920245,200.0
1548920246,200.0
1548920247,200.0
1548920248,200.0
1548920249,200.0
1548920250,200.0
1548920251,200.0
1548920252,200.0
1548920253,200.0
1548920254,200.0
1548920255,200.0
1548920256,200.0
1548920257,200.0
1548920258,200.0
1548920259,200.0
1548920260,200.0
1548920261,200.0
1548920262,200.0
1548920263,200.0
