t,value
1548920094,10.0
1548920095,10.0
1548920096,10.0
1548920097,10.0
1548920098,10.0
1548920099,10.0
1548920100,10.0
1548920101,10.0
1548920102,10.0
1548920103,10.0
1548920104,10.0
1548920105,10.0
1548920106,10.0
1548920107,10.0
1548920108,10.0
1548920109,10.0
1548920110,10.0
1548920111,10.0
1548920112,10.0
1548920113,10.0
1548920114,10.0
1548920115,10.0
1548920116,10.0
1548920117,10.0
1548920118,10.0
1548920119,10.0
1548920120,10.0
1548920121,10.0
1548920122,10.0
1548920123,10.0
1548920124,10.0
1548920125,10.0
1548920126,10.0
1548920127,10.0
1548920128,10.0
1548920129,10.0
1548920130,10.0
1548920131,10.0
1548920132,10.0
1548920133,10.0
1548920134,10.0
1548920135,10.0
1548920136,10.0
1548920137,10.0
1548920138,10.0
1548920139,10.0
1548920140,10.0
1548920141,10.0
1548920142,10.0
1548920143,10.0
1548920144,10.0
1548920145,10.0
1548920146,10.0
1548920147,10.0
1548920148,10.0
1548920149,10.0
1548920150,10.0
1548920151,10.0
1548920152,10.0
1548920153,10.0
1548920154,10.0
1548920155,10.0
1548920156,10.0
1548920157,10.0
1548920158,10.0
1548920159,10.0
1548920160,10.0
1548920161,10.0
1548920162,10.0
1548920163,10.0
1548920164,10.0
1548920165,10.0
1548920166,10.0
1548920167,10.0
1548920168,10.0
1548920169,10.0
1548920170,10.0
1548920171,10.0
1548920172,10.0
1548920173,10.0
1548920174,10.0
1548920175,10.0
1548920176,10.0
1548920177,10.0
1548920178,10.0
1548920179,10.0
1548920180,10.0
1548920181,10.0
1548920182,10.0
1548920183,10.0
1548920184,10.0
1548920185,10.0
1548920186,10.0
1548920187,10.0
1548920188,10.0
1548920189,10.0
1548920190,10.0
1548920191,10.0
1548920192,10.0
1548920193,10.0
1548920194,10.0
1548920195,10.0
1548920196,10.0
1548920197,10.0
1548920198,10.0
1548920199,10.0
1548920200,10.0
1548920201,10.0
1548920202,10.0
1548920203,10.0
1548920204,10.0
1548920205,10.0
1548920206,10.0
1548920207,10.0
1548920208,10.0
1548920209,10.0
1548920210,10.0
1548920211,10.0
1548920212,10.0
1548920213,10.0
1548920214,10.0
1548920215,10.0
1548920216,10.0
1548920217,10.0
1548920218,10.0
1548920219,10.0
1548920220,10.0
1548920221,10.0
1548920222,10.0
1548920223,10.0
1548920224,10.0
1548920225,10.0
1548920226,10.0
1548920227,10.0
1548920228,10.0
1548920229,10.0
1548920230,10.0
1548920231,10.0
1548920232,10.0
1548920233,10.0
1548920234,10.0
1548920235,10.0
1548920236,10.0
1548920238,10.0
1548920240,10.0
1548920241,10.0
1548920242,10.0
1548920242,10.0
1548920243,10.0
1548920243,10.0
1548920244,10.0
1548920245,10.0
1548920246,10.0
1548920247,10.0
1548920248,10.0
1548920249,10.0
1548920250,10.0
1548920251,10.0
1548920252,10.0
1548920253,10.0
1548920254,10.0
1548920255,10.0
1548920256,10.0
1548920257,10.0
1548920258,10.0
1548920259,10.0
1548920260,10.0
1548920261,10.0
1548920262,10.0
1548920263,10.0
